Cocktail Name,Glass,strIBA,Ingredients,Instructions,floral,citrus,herbaceous,fruity,spicy,sweet,bitter,combined,flavors
Creole,Martini,,"h by hine, clement creole shrubb, fino sherry, 2 dash orange bitters",Stir. Strain into martini glass. Garnish with lemon twist.,0,1,0,0,0,0,1,"h by hine, clement creole shrubb, fino sherry, 2 dash orange bitters,citrus,bitter",",citrus,bitter"
Creole Cobbler,Coupe,,"junipero gin, 1 1/sathenay crème de peche, 1/fresh lemon juice,  oz 2 dashes orange bitters","Shake all ingredients in an ice-filled cocktail shaker. Strain, and Serve.",0,1,0,0,0,0,1,"junipero gin, 1 1/sathenay crème de peche, 1/fresh lemon juice,  oz 2 dashes orange bitters,citrus,bitter",",citrus,bitter"
Creole Summer,,,"vanilla flavored vodka, luxardo limoncello, fresh sweet n' sour, passion fruit puree, egg white, 7 dash green tabasco",Shake all ingredients with ice. Strain into a chilled cocktail glass.,0,0,0,0,0,0,0,"vanilla flavored vodka, luxardo limoncello, fresh sweet n' sour, passion fruit puree, egg white, 7 dash green tabasco",
Croatia Firing Squad,,,"luxardo bitter bianco, lillet blanc, no.3 london dry gin, rose wine","Build cocktail in glass, add ice and stir. Garnish with rose petal.",1,0,0,0,0,0,1,"luxardo bitter bianco, lillet blanc, no.3 london dry gin, rose wine,floral,bitter",",floral,bitter"
Crooked Kilt,,,"glenrothes vintage reserve, lime juice , green chartreuse, velvet falernum, pineapple juice",Pour over crushed ice with a mint garnish.,0,1,0,1,0,0,0,"glenrothes vintage reserve, lime juice , green chartreuse, velvet falernum, pineapple juice,citrus,fruity",",citrus,fruity"
Cuba Liberation,,,"pink pigeon rum, fresh lime juice, simple syrup,  oz mexican coca cola, 1 float luxardo fernet",Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.,0,1,0,0,0,1,0,"pink pigeon rum, fresh lime juice, simple syrup,  oz mexican coca cola, 1 float luxardo fernet,citrus,sweet",",citrus,sweet"
Culebra,Collins,,"rhum agricole-style, luxardo amaretto di saschira, fresh lime juice, cola, mint sprigs, 2 dash bitters","Place the mint in a Collins glass and muddle for a few seconds to release the oils, then add ice and ingredients, stir well and serve.",0,1,0,0,0,0,1,"rhum agricole-style, luxardo amaretto di saschira, fresh lime juice, cola, mint sprigs, 2 dash bitters,citrus,bitter",",citrus,bitter"
Cupid's Carrier Pigeon,Tiki glass,,"no.3 london dry gin, velvet falernum, pink pigeon rum, unfiltered apple juice, lime juice, 3 dash angostura bitters","Shake, strain into a Tiki glass over crushed ice and garnish with a large sprig of mint.

",0,1,0,1,0,0,1,"no.3 london dry gin, velvet falernum, pink pigeon rum, unfiltered apple juice, lime juice, 3 dash angostura bitters,citrus,fruity,bitter",",citrus,fruity,bitter"
Cut & Rum,Smoked Glass,,"banks 5 rum, denizen aged white rum , denizen aged white rum , luxardo amaro abano","Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin.",0,0,0,0,0,0,0,"banks 5 rum, denizen aged white rum , denizen aged white rum , luxardo amaro abano",
Cut To The Chase,Coupe,,"j.h. cutter whisky, averna amaro, alvear px sherry, 2 dash angostura bitters","Combine all ingredients in to a mixing glass and add ice.

Stir for about 10-15 seconds.

Strain in to a cocktail coupe or a glass of your choosing.

Garnish with an orange twist expressed over the top of the drink.",0,0,0,0,0,0,1,"j.h. cutter whisky, averna amaro, alvear px sherry, 2 dash angostura bitters,bitter",",bitter"
Daisy Mae,Rocks Glass,,"junipero gin, lime juice, green chartreuse, simple syrup",Shake and strain into a rocks glass. Garnish with a mint sprig.,0,1,0,0,0,1,0,"junipero gin, lime juice, green chartreuse, simple syrup,citrus,sweet",",citrus,sweet"
Dark Caipirinha,Highball glass,,"demerara sugar,lime,cachaca","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",0,1,0,0,0,1,0,"demerara sugar,lime,cachaca,citrus,sweet",",citrus,sweet"
Day For Night,Nick & Nora,,"c. drouin calvados selection, la quintinye vermouth rouge, pedro ximenez sherry, cannella cinnamon cordial, 1 dash angostura bitters",Stir and strain into a chilled Nick and Nora glass. Garnish with a clove(2) studded orange coin.,0,0,0,0,0,0,1,"c. drouin calvados selection, la quintinye vermouth rouge, pedro ximenez sherry, cannella cinnamon cordial, 1 dash angostura bitters,bitter",",bitter"
Delicious in Mauritius,,,"pink pigeon rum, white peach puree, hibiscus syrup, lemon juice, ginger ale","Shake all ingredients except ginger ale, then strain into chilled cocktail ""coupe"" glass. Float ginger ale and zest of fresh lemon.",0,1,0,1,0,0,0,"pink pigeon rum, white peach puree, hibiscus syrup, lemon juice, ginger ale,citrus,fruity",",citrus,fruity"
Delicious Sour,Coupe,,"c. drouin calvados selection, lemon juice, giffard abricot du roussillon, egg white","Dry shake. Add ice, shake. Double strain into a frozen coupe glass. Garnish with lemon twist or dehydrated apple slice.",0,1,0,0,0,0,0,"c. drouin calvados selection, lemon juice, giffard abricot du roussillon, egg white,citrus",",citrus"
Dernier Mot,Cocktail Glass,,"rhum agricole, green chartreuse, luxardo maraschino liqueur, fresh lime juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,0,1,0,0,0,0,0,"rhum agricole, green chartreuse, luxardo maraschino liqueur, fresh lime juice,citrus",",citrus"
Desmond's Choice,Old Fashioned Glass,,"hirsch small batch reserve bourbon, creme de cacao, pierre ferrand dry orange curacao, 3 dash the bitter truth jerry thomas bitters","In old fashioned glass, lightly muddle orange zest with bitters and orange curacao.  Add bourbon and creme de cacao then stir with ice for proper dilution (depending on ice) and mixing of ingredients.",0,1,0,0,0,0,1,"hirsch small batch reserve bourbon, creme de cacao, pierre ferrand dry orange curacao, 3 dash the bitter truth jerry thomas bitters,citrus,bitter",",citrus,bitter"
Deviled Negroni ,Rocks Glass,,"no.3 london dry gin, maurin quina, luxardo bitter","Stir all 3 ingredients continuously in an ice-filled glass, approximately 20 seconds. Strain into a rocks glass with one large ice cube.",0,0,0,0,0,0,1,"no.3 london dry gin, maurin quina, luxardo bitter,bitter",",bitter"
Dirty Martini,Cocktail glass,New Era Drinks,"vodka,dry vermouth,olive brine,lemon,olive","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",0,1,0,0,0,0,0,"vodka,dry vermouth,olive brine,lemon,olive,citrus",",citrus"
Divine Aspect,Coupe,,"no.3 london dry gin, apple-infused wild turkey bourbon 101, luxardo apricot liqueur",Stir and strain up into cocktail glass.,0,0,0,1,0,0,0,"no.3 london dry gin, apple-infused wild turkey bourbon 101, luxardo apricot liqueur,fruity",",fruity"
Division Bell,Martini,,"mezcal, aperol, luxardo maraschino liqueur, lime juice",Fill a cocktail shaker with ice. Add ingredients and shake well. Strain into a chilled coupe or martini glass and garnish with the grapefruit twist.,0,1,0,0,0,0,0,"mezcal, aperol, luxardo maraschino liqueur, lime juice,citrus",",citrus"
Doctor's Orders,Cocktail Glass,,"junipero gin, dry vermouth, curacao, 1 dash tempus fugit abbott's bitters",Stir. Serve in a small cocktail glass. Lemon twist to garnish.,0,0,0,0,0,0,1,"junipero gin, dry vermouth, curacao, 1 dash tempus fugit abbott's bitters,bitter",",bitter"
Don't Rock the Boat Punch,,,"1 part no.3 london dry gin, 1 part rooibus tea (steeped and cooled), 1 part mulled cider (cooled), .5 part clover honey syrup, .33 part cava,   angostura","Combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally.",0,0,1,0,0,1,0,"1 part no.3 london dry gin, 1 part rooibus tea (steeped and cooled), 1 part mulled cider (cooled), .5 part clover honey syrup, .33 part cava,   angostura,herbaceous,sweet",",herbaceous,sweet"
Donaji,Rocks Glass,,"mezcal, fresh lemon juice, fresh lime juice, agave nectar","Shaken and strained over ice in a rocks glass.

*Chapuline, Salt & Chile Pepper Rim:
Grind the chapuline  (dried crickets) and dried chile pepper in a mortar and pestle, as it becomes a powder, throw in the salt and pour onto a plate. Use a fresh lime wedge to moisten the rim of the glass and dip into the powder.",0,1,0,0,0,1,0,"mezcal, fresh lemon juice, fresh lime juice, agave nectar,citrus,sweet",",citrus,sweet"
Down the Rabbit Hole,Collins,," oz junipero gin,  oz lemon,  oz elder flower liquor,  oz honey syrup,  oz carrot juice","Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves.",0,1,0,0,0,1,0," oz junipero gin,  oz lemon,  oz elder flower liquor,  oz honey syrup,  oz carrot juice,citrus,sweet",",citrus,sweet"
Drink Lab #16,,,"brandy, orgeat, luxardo sangue morlacco cherry liqueur, lemon juice, 10 drops bittermens burlesque bitters","Shake, strain, lemon twist garnish.",0,1,0,1,0,0,1,"brandy, orgeat, luxardo sangue morlacco cherry liqueur, lemon juice, 10 drops bittermens burlesque bitters,citrus,fruity,bitter",",citrus,fruity,bitter"
Drops of Jupiter,Rocks Glass,,"junipero gin, genevieve gin, rich wild sage honey syrup, 1 dash angostura bitters, 1 dash whiskey barrel aged bitters, spring water",Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.,0,0,1,0,0,1,1,"junipero gin, genevieve gin, rich wild sage honey syrup, 1 dash angostura bitters, 1 dash whiskey barrel aged bitters, spring water,herbaceous,sweet,bitter",",herbaceous,sweet,bitter"
Dry Mauritian Sour,,,"pink pigeon rum, campari, lavender syrup, lemon juice , orange juice, egg white","Dry shake, shake with cubed ice, double strain into chilled glass.",1,1,0,0,0,0,0,"pink pigeon rum, campari, lavender syrup, lemon juice , orange juice, egg white,floral,citrus",",floral,citrus"
Duchamp's Punch,Old-fashioned glass,,"pisco,lime juice,pineapple syrup,st. germain,angostura bitters,pepper,lavender","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",1,1,0,1,0,0,1,"pisco,lime juice,pineapple syrup,st. germain,angostura bitters,pepper,lavender,floral,citrus,fruity,bitter",",floral,citrus,fruity,bitter"
Duke's Classic Dry Martini,Martini,,"no.3 london dry gin, 1 tsp extra dry vermouth, 1  amalfi lemon","Pour the Extra Dry Vermouth into a frozen martini glass (either 7 oz. or 5.5 oz. glass) and coat in a circular motion. Top up the glass with ice cold No.3 gin. Pare the rind of an Amalfi lemon, and give it a twist to extract the oils into the glass.",0,1,0,0,0,0,0,"no.3 london dry gin, 1 tsp extra dry vermouth, 1  amalfi lemon,citrus",",citrus"
Dutch Stories,,,"genevieve gin, luxardo apricot liqueur, luxardo maraschino liqueur, fresh lemon juice, 1 tbsp gooseberry jam","Shake the ingredients with ice, then strain into a chilled cocktail glass.",0,1,0,1,0,0,0,"genevieve gin, luxardo apricot liqueur, luxardo maraschino liqueur, fresh lemon juice, 1 tbsp gooseberry jam,citrus,fruity",",citrus,fruity"
"Eat, Drink and Be Cherry",Bamboo Highball Glass,,"nikka coffey grain whisky, luxardo sangue morlacco cherry liqueur, mendolera, cane sugar, lemon, fever-tree soda","Shake everything except for the soda water, strain into bamboo highball, add soda, add ice, garnish with 3 picked cherries.",0,1,0,1,0,1,0,"nikka coffey grain whisky, luxardo sangue morlacco cherry liqueur, mendolera, cane sugar, lemon, fever-tree soda,citrus,fruity,sweet",",citrus,fruity,sweet"
Eden's Apple,Coupe,,"apple & cinnamon-infused karlsson's gold vodka, j. t. taylor's falernum, fresh lemon juice, fresh cider, 1 tincture bar keep baked apple bitters","In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with the apple slice. Can also be served warm.",0,1,0,1,0,0,1,"apple & cinnamon-infused karlsson's gold vodka, j. t. taylor's falernum, fresh lemon juice, fresh cider, 1 tincture bar keep baked apple bitters,citrus,fruity,bitter",",citrus,fruity,bitter"
El Cortez,,,"luxardo apricot liqueur, chinaco reposado tequila, dry riesling","Stir the first two ingredients with ice, then strain into a chilled wine glass. Top with chilled wine, stir and serve.",0,0,0,1,0,0,0,"luxardo apricot liqueur, chinaco reposado tequila, dry riesling,fruity",",fruity"
El Mustavo,,,"mezcal, tempus fugit alessio vermouth chinato, campari, 2 dash rhubarb bitters, 2 dash orange bitters",Stir all ingredients and pour over 2-inch single ice cube. Garnish with birch smoked sea salt rim and bow tie orange peel.,0,1,0,0,0,0,1,"mezcal, tempus fugit alessio vermouth chinato, campari, 2 dash rhubarb bitters, 2 dash orange bitters,citrus,bitter",",citrus,bitter"
Elgin Elixir,Rocks Glass,,"benriach single malt 12 yo, c. drouin calvados selection, luxardo aperitivo",Combine ingredients with ice in a mixing glass and stir. Strain over a large cube in a rocks glass and garnish with an orange peel.,0,0,0,0,0,0,0,"benriach single malt 12 yo, c. drouin calvados selection, luxardo aperitivo",
End of Winter,,,"h by hine (brown butter-infused), king's ginger liqueur, 3 dash fee brothers black walnut bitters","Combine H by HINE, King's Ginger Liqueur, and bitters over ice in a mixing glass. Stir until you reach proper dilution(15-20 seconds). Strain over a large ice rock in a bucket glass and garnish with Luxardo Cherries.",0,0,0,0,0,0,1,"h by hine (brown butter-infused), king's ginger liqueur, 3 dash fee brothers black walnut bitters,bitter",",bitter"
Endless Summer,Coupe,,"ypioca brasilizar cachaca prata reserva especial, luxardo bitter, luxardo maraschino liqueur, lemon juice, 1 dash lemon bitters",Served up in a coupe glass.,0,1,0,0,0,0,1,"ypioca brasilizar cachaca prata reserva especial, luxardo bitter, luxardo maraschino liqueur, lemon juice, 1 dash lemon bitters,citrus,bitter",",citrus,bitter"
English Harbour Colada,Old Fashioned Glass,,"english harbour rum 5 yo, fresh squeezed pineapple juice, fresh coconut water",Build in old fashioned glass over ice.,0,0,0,1,0,0,0,"english harbour rum 5 yo, fresh squeezed pineapple juice, fresh coconut water,fruity",",fruity"
Erasmus' Revenge,,,"junipero gin, carpano antica, 1 bsp calisaya, 3 dash the bitter truth grapefruit bitters",Combine ingredients. Pour over big cube and stir. Add the grapefruit peel.,0,0,0,1,0,0,1,"junipero gin, carpano antica, 1 bsp calisaya, 3 dash the bitter truth grapefruit bitters,fruity,bitter",",fruity,bitter"
Espèce de Sazerac,Rocks Glass,,"h by hine, old overholt straight rye whiskey, rittenhouse straight rye whisky, 1 bsp rich demerara simple syrup, 3 dash peychaud's bitters","Stir all ingredients together, strain into a chilled large rocks glass, no ice. Twist a zest of lemon above the drink, dip it once and then discard.",0,0,0,0,0,1,1,"h by hine, old overholt straight rye whiskey, rittenhouse straight rye whisky, 1 bsp rich demerara simple syrup, 3 dash peychaud's bitters,sweet,bitter",",sweet,bitter"
Espresso Martini,Cocktail glass,New Era Drinks,"vodka,kahlua,sugar syrup","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",0,0,0,0,0,1,0,"vodka,kahlua,sugar syrup,sweet",",sweet"
Essence No.5 (Adapted),,,"no.3 london dry gin, luxardo triplum (triple sec), lavander syrup, fresh lime juice, 4  raspberries",Shake all ingredients with ice then double strain into a chilled cocktail glass. Garnish with channeled lemon and raspberry on the rim.,0,1,0,1,0,0,0,"no.3 london dry gin, luxardo triplum (triple sec), lavander syrup, fresh lime juice, 4  raspberries,citrus,fruity",",citrus,fruity"
Far From the Tree,Fizz Glass,,"c. drouin calvados selection, orgeat, lemon juice, pear & celery puree, .5  egg white","Dry Shake (no ice), Wet Shake (with ice) & Double Strain.",0,1,0,1,0,0,0,"c. drouin calvados selection, orgeat, lemon juice, pear & celery puree, .5  egg white,citrus,fruity",",citrus,fruity"
Farmer's Gold,Cocktail Glass,,"karlsson's gold vodka, fresh lemon juice, simple syrup (1:1), 3 dash regans' orange bitters, 5 large basil leaves, 16 whole black peppercorns","Muddle 4 basil leaves, 16 peppercorns and simple syrup in shaker tin. Add all other ingredients except final basil leaf. Add ice. Shake vigorously. Fine strain into chilled cocktail glass. Express lemon oil from lemon swath over drink. Garnish with lemon swath and final basil leaf.",0,1,0,0,0,1,1,"karlsson's gold vodka, fresh lemon juice, simple syrup (1:1), 3 dash regans' orange bitters, 5 large basil leaves, 16 whole black peppercorns,citrus,sweet,bitter",",citrus,sweet,bitter"
Feingold,,,"brandy, orange cordial, 1 bsp luxardo sangue morlacco cherry liqueur, 1  luxardo cherry (muddled), 1 dash aromatic bitters, 1 dash cherry bitters","Muddle cherry in liquid ingredients. Shake, double strain over cracked ice. Garnish with two more cherries on a pick with an orange flag.",0,1,0,1,0,0,1,"brandy, orange cordial, 1 bsp luxardo sangue morlacco cherry liqueur, 1  luxardo cherry (muddled), 1 dash aromatic bitters, 1 dash cherry bitters,citrus,fruity,bitter",",citrus,fruity,bitter"
Fernet Frappe,,,"luxardo fernet, king's ginger liqueur, cola, 1 wedge lemon juice","Pour ingredients over crushed ice into a stemmed glass, stir well and serve.",0,1,0,0,0,0,0,"luxardo fernet, king's ginger liqueur, cola, 1 wedge lemon juice,citrus",",citrus"
Fiery Clydesdale,Highball Glass,,"pusser's blue label rum , king's ginger liqueur, ginger syrup, lime juice,  top homemade pink grapefruit soda","Wet shake all ingredients except grapefruit soda, pour over ice and top with grapefruit soda. Rim glass with grapefruit demerara. Add dehydrated grapefruit wheel and slice of fresh root ginger for garnish.",0,1,0,1,0,0,0,"pusser's blue label rum , king's ginger liqueur, ginger syrup, lime juice,  top homemade pink grapefruit soda,citrus,fruity",",citrus,fruity"
Figge bout it,Double Rocks Glass,,"westland american single malt, lustau pedro ximénez sherry, lemon juice, fig & cinnamon syrup, 1 dash angostura bitters",Shake and double strain into double rocks glass. Garnish with torched cinnamon stick and Luxardo Cherry.,0,1,0,0,0,0,1,"westland american single malt, lustau pedro ximénez sherry, lemon juice, fig & cinnamon syrup, 1 dash angostura bitters,citrus,bitter",",citrus,bitter"
Final Ward,Cocktail Glass,,"rye whiskey, green chartreuse, luxardo maraschino liqueur, fresh lemon juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,0,1,0,0,0,0,0,"rye whiskey, green chartreuse, luxardo maraschino liqueur, fresh lemon juice,citrus",",citrus"
Fiona Graham,Nick & Nora,,"luxardo bitter bianco, junmai sake, coconut rum, 1 dash orange bitters, 1 dash coconut vinegar",Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,0,1,0,1,0,0,1,"luxardo bitter bianco, junmai sake, coconut rum, 1 dash orange bitters, 1 dash coconut vinegar,citrus,fruity,bitter",",citrus,fruity,bitter"
Flambeed Brandy Alexander,Mug,,"h by hine, tempus fugit creme de cacao, cream (steamed as for a cappuccino)","Warm and flame H by Hine VSOP Fine Champagne in metal mug like a Blue Blazer without the tossing back and forth.
Douse flame of heated brandy with cacao, top with foamed cream.
Garnish with freshly grated nutmeg.
",0,0,0,0,0,0,1,"h by hine, tempus fugit creme de cacao, cream (steamed as for a cappuccino),bitter",",bitter"
Flamenco,Coupe,,"lustau amontillado sherry, bols genever, orange juice, lemon juice, luxardo orgeat syrup, 2 dash angostura bitters","Shake all the ingredients with ice, then strain into a coupe. No garnish.",0,1,0,0,0,0,1,"lustau amontillado sherry, bols genever, orange juice, lemon juice, luxardo orgeat syrup, 2 dash angostura bitters,citrus,bitter",",citrus,bitter"
Flaming Lamborghini,Cocktail glass,,"kahlua,sambuca,blue curacao,bailey's irish cream","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",1,0,0,0,0,0,0,"kahlua,sambuca,blue curacao,bailey's irish cream,floral",",floral"
Flight to Peru,,,"barsol selecto italia pisco, fresh grapefruit juice, simple syrup, luxardo maraschino liqueur, 1 dash chocolate mole bitters",Shake and serve up. Garnish elaborately with a Luxardo Cherry and a grapefruit peel.,0,0,0,1,0,1,1,"barsol selecto italia pisco, fresh grapefruit juice, simple syrup, luxardo maraschino liqueur, 1 dash chocolate mole bitters,fruity,sweet,bitter",",fruity,sweet,bitter"
Flip and Flight,,,"pink pigeon rum, dry oloroso sherry, grenadine, 1 whole egg,   vanilla-salt spray","Dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution.",0,0,0,0,0,0,0,"pink pigeon rum, dry oloroso sherry, grenadine, 1 whole egg,   vanilla-salt spray",
Flip the Bird,Port Glass,,"pink pigeon rum, simple syrup, cream, punt e mes, 1  egg yolk","Shake without ice, to whip and emulsify ingredients until frothy. Add ice to shaker and shake vigorously. Strain into port glass or small fluted glass. Garnish with shaved cinnamon or nutmeg.
",0,0,0,0,0,1,0,"pink pigeon rum, simple syrup, cream, punt e mes, 1  egg yolk,sweet",",sweet"
Floral Summer,Martini,,"no.3 london dry gin, honey syrup , fresh lemon syrup ,   tarragon leaves,   lavender bitters",Shake and strain into a martini glass.,1,1,0,0,0,1,1,"no.3 london dry gin, honey syrup , fresh lemon syrup ,   tarragon leaves,   lavender bitters,floral,citrus,sweet,bitter",",floral,citrus,sweet,bitter"
Fortune & Glory,Coupe,,"chinaco reposado tequila, lime juice, h by hine, small hand foods orgeat, falernum, 2 dash mole bitters","Shake, strain into a chilled coupe. Garnish with lime wheel.",0,1,0,0,0,0,1,"chinaco reposado tequila, lime juice, h by hine, small hand foods orgeat, falernum, 2 dash mole bitters,citrus,bitter",",citrus,bitter"
Fourth Generation,Nick & Nora,,"mezcal, luxardo espresso italian liqueur, luxardo bitter bianco, 2 dash salted chocolate bitters",Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.,0,0,0,0,0,0,1,"mezcal, luxardo espresso italian liqueur, luxardo bitter bianco, 2 dash salted chocolate bitters,bitter",",bitter"
Frankie and Johnnie,,,"king's ginger liqueur, c. drouin pommeau de normandie, fresh lemon juice, fresh orange juice, 1 dash jerry thomas bitters",Shake and serve up.,0,1,0,0,0,0,1,"king's ginger liqueur, c. drouin pommeau de normandie, fresh lemon juice, fresh orange juice, 1 dash jerry thomas bitters,citrus,bitter",",citrus,bitter"
French 33,Champagne Flute,,"no.3 london dry gin, simple syrup, lime juice","Shake with ice, strain into flute, top with sparkling rose and a grapefruit twist.",0,1,0,0,0,1,0,"no.3 london dry gin, simple syrup, lime juice,citrus,sweet",",citrus,sweet"
French 75,Champagne Flute,,"no.3 london dry gin or h by hine, fresh lemon juice, 1 dash simple syrup, 1 float sparkling wine","Mix the gin or cognac, lemon juice and syrup in a cocktail shaker. Pour the contents into a Champagne flute. Top up with Champagne. Add a Luxardo Cherry or a peel of lemon.",0,1,0,0,0,1,0,"no.3 london dry gin or h by hine, fresh lemon juice, 1 dash simple syrup, 1 float sparkling wine,citrus,sweet",",citrus,sweet"
French Maid,,,"h by hine, house ginger beer, lime juice, simple syrup, john d. taylor's velvet falernum, 3  cucumber wheels, 8  mint leaves, 1  mint sprig","Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel.",0,1,0,0,0,1,0,"h by hine, house ginger beer, lime juice, simple syrup, john d. taylor's velvet falernum, 3  cucumber wheels, 8  mint leaves, 1  mint sprig,citrus,sweet",",citrus,sweet"
French Martini,Cocktail glass,New Era Drinks,"vodka,raspberry liqueur,pineapple juice",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,0,0,0,1,0,0,0,"vodka,raspberry liqueur,pineapple juice,fruity",",fruity"
Frisco San,Martini,,"nikka whisky taketsuru pure malt 12 yo, barsol perfecto amor (aperitif wine), benedictine, 1 dash angostura bitters",Stir all ingredients with ice. Strain into a chilled Martini glass. Garnish with a lemon peel.,0,0,0,0,0,0,1,"nikka whisky taketsuru pure malt 12 yo, barsol perfecto amor (aperitif wine), benedictine, 1 dash angostura bitters,bitter",",bitter"
Full of Bologna,Coupe,,"c. drouin calvados selection, luxardo amaro abano, pear watercress puree, lemon juice",Shaken and strained into a large coupe. Mint oil is house-made and used as a garnish.,0,1,0,1,0,0,0,"c. drouin calvados selection, luxardo amaro abano, pear watercress puree, lemon juice,citrus,fruity",",citrus,fruity"
Gagliardo,Cocktail glass,,"peach vodka,lemon juice,galliano,sirup of roses","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",1,1,0,1,0,0,0,"peach vodka,lemon juice,galliano,sirup of roses,floral,citrus,fruity",",floral,citrus,fruity"
Garrison's New Fashioned,Old Fashioned Glass,,"garrison brothers flagship bourbon, luxardo apricot liqueur, 2 dash australian bitters company aromatic bitters,   lemon peel","Place the lemon peel in an Old Fashioned glass and muddle with bitters. In a mixing glass filled with ice, add the bourbon and apricot liqueur, then strain into the glass. Garnish with cherry and orange slice, and serve over an ice sphere.",0,1,0,1,0,0,1,"garrison brothers flagship bourbon, luxardo apricot liqueur, 2 dash australian bitters company aromatic bitters,   lemon peel,citrus,fruity,bitter",",citrus,fruity,bitter"
Geaux Geaux Cup,,,"junipero gin, maurin quina, fresh lemon, pages elderflower syrup,  top ginger ale","Shake all ingredients in an ice-filled cocktail shaker. Strain into a chilled serving glass. Top with a splash of ginger ale. Garnish with a cucumber slice, quartered.",0,1,0,0,0,0,0,"junipero gin, maurin quina, fresh lemon, pages elderflower syrup,  top ginger ale,citrus",",citrus"
Georgia Old Fashioned,,,"nikka coffey grain whisky, tippleman's barrel smoked maple syrup, 2 dash regans' orange bitters, 5 dash angostura bitters, 1 disc orange, 1 disc lemon, 1 slice peach","Muddle fruit, bitters and syrup. Add ice (1 large cube if available). Top with Whisky. Long stir.",0,1,0,1,0,0,1,"nikka coffey grain whisky, tippleman's barrel smoked maple syrup, 2 dash regans' orange bitters, 5 dash angostura bitters, 1 disc orange, 1 disc lemon, 1 slice peach,citrus,fruity,bitter",",citrus,fruity,bitter"
Gin Made Me Do It,Martini,,"junipero gin, c. drouin calvados selection, vermouth del professore, 2 dash angostura bitters, 1 dash st. george absinthe","Build all ingredients in a mixing glass, add ice and stir. Strain into a chilled martini glass and garnish with fresh fennel flowers.",0,0,0,0,0,0,1,"junipero gin, c. drouin calvados selection, vermouth del professore, 2 dash angostura bitters, 1 dash st. george absinthe,bitter",",bitter"
Gin n' Celery,Double Rocks Glass,,"old tom gin, lemon juice, small hand foods gum syrup, 7 dash celery bitters, tonic water, 1 pinch salt","Shake booze, juice and gum. Add bitters and salt to a double rocks glass then add ice. Strain cocktail, top with tonic. Garnish with bitter covered lemon peel.",0,1,0,0,0,0,1,"old tom gin, lemon juice, small hand foods gum syrup, 7 dash celery bitters, tonic water, 1 pinch salt,citrus,bitter",",citrus,bitter"
Gin Rickey,Highball glass,,"gin,grenadine,lemon,soda water,lime",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,0,1,0,0,0,0,0,"gin,grenadine,lemon,soda water,lime,citrus",",citrus"
Ginger Drop,Martini,,"king's ginger liqueur, momokawa organic junmai ginjo sake, lemon juice, simple syrup",Shake and strain up into cocktail glass.,0,1,0,0,0,1,0,"king's ginger liqueur, momokawa organic junmai ginjo sake, lemon juice, simple syrup,citrus,sweet",",citrus,sweet"
