,Cocktail Name,Glass,Ingredients,Instructions,combined,flavors,popularity
131,Clearly Bitter,Coupe,"luxardo bitter bianco, junipero gin, dry vermouth, curacao, 2 dash rhubarb bitters",Build all ingredients in a mixing glass. Stir with ice and strain into coupe. Garnish with grapefruit peel.,"luxardo bitter bianco, junipero gin, dry vermouth, curacao, 2 dash rhubarb bitters,bitter",bitter,0.9016435794854154
132,Club Med,,"luxardo apricot liqueur, barsol selecto italia pisco, elderflower liqueur, white dry white(preferably sauvignon), club soda","Fill up a wine glass with ice then pour the ingredients, stir and serve.","luxardo apricot liqueur, barsol selecto italia pisco, elderflower liqueur, white dry white(preferably sauvignon), club soda,fruity",fruity,3.278445400932223
133,Coco Batida,,"1 1/coconut milk, 1 1/condensed milk, ypiòca,  sugar","Put 1 1/2 ounces of coconut milk, 1 1/2 ounces of condensed milk, 3 ounces of Ypiòca and tablespoon of sugar in a blender. Mix for a few seconds. Add ice cubes and serve.","1 1/coconut milk, 1 1/condensed milk, ypiòca,  sugar,fruity,sweet","fruity, sweet",2.805082406647019
134,Coffee & Clove,Nick & Nora,"nikka coffey grain whisky, manzanilla sherry, orange liqueur, 2 dash clove tincture",Stir. Strain into Nick & Nora glass. Mist of Pipe Tobacco Tincture.,"nikka coffey grain whisky, manzanilla sherry, orange liqueur, 2 dash clove tincture,citrus,herbaceous","citrus, herbaceous",1.5739822504578846
135,Coffey Grain Manhattan,Coupe,"nikka coffey grain whisky, tempus fugit alessio vermouth di torino rosso, 1 dash tempus fugit abbott's bitters",Combine ingredients in a mixing glass with ice and stir. Strain into a coupe glass and garnish with a flamed orange peel.,"nikka coffey grain whisky, tempus fugit alessio vermouth di torino rosso, 1 dash tempus fugit abbott's bitters,bitter",bitter,1.7520872247165498
136,Conference,Double Rocks Glass,"h by hine, rye whiskey, bourbon, calvados,  demerara syrup, 2 dash angostura bitters, 1 dash bittermens xocolatl mole bitters","Stir all the ingredients over ice, then strain into a double rocks glass over 1 large ice cube. Garnish with a lemon twist and orange twist.","h by hine, rye whiskey, bourbon, calvados,  demerara syrup, 2 dash angostura bitters, 1 dash bittermens xocolatl mole bitters,sweet,bitter","bitter, sweet",1.4536053145796766
137,Corpse Reviver No 1,Coupe,"h by hine, calvados, tempus fugit alessio vermouth bianco",Shake all the ingredients over ice and strain into a chilled coupe glass. Garnish with an orange twist.,"h by hine, calvados, tempus fugit alessio vermouth bianco",,1.3308261944107205
138,Corpse Reviver No.2,,"no.3 london dry gin, tempus fugit kina l'aero d'or, the genuine curacao liqueur clear, lemon juice,  rinse vieux pontarlier absinthe francaise superieure",Rinse cocktail glass with Vieux Pontarlier Absinthe. Shake rest with ice and strain.,"no.3 london dry gin, tempus fugit kina l'aero d'or, the genuine curacao liqueur clear, lemon juice,  rinse vieux pontarlier absinthe francaise superieure,citrus",citrus,1.800198368122511
139,Cosmopolitan,Cocktail glass,"absolut citron,lime juice,cointreau,cranberry juice",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,"absolut citron,lime juice,cointreau,cranberry juice,citrus,fruity","citrus, fruity",0.9421534611674256
140,Cosmopolitan Martini,Cocktail Glass,"cointreau,vodka,lime,cranberry juice","Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.","cointreau,vodka,lime,cranberry juice,citrus,fruity","citrus, fruity",0.9648546578054016
141,Cream Soda,Highball glass,"spiced rum,ginger ale",Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,"spiced rum,ginger ale",,2.421318224481345
142,Creek Ran Dry,Coupe,"pear brandy, dry vermouth, chateau de montifaud pineau des charentes blanc, dolin genepy","Barrel aged for 5 months in a used bourbon barrel.

Stir with ice and strain into a small coupe. Garnish with an orange twist.","pear brandy, dry vermouth, chateau de montifaud pineau des charentes blanc, dolin genepy,fruity",fruity,0.7985282979877872
143,Creole,Martini,"h by hine, clement creole shrubb, fino sherry, 2 dash orange bitters",Stir. Strain into martini glass. Garnish with lemon twist.,"h by hine, clement creole shrubb, fino sherry, 2 dash orange bitters,citrus,bitter","bitter, citrus",9.015676087789313
144,Creole Cobbler,Coupe,"junipero gin, 1 1/sathenay crème de peche, 1/fresh lemon juice,  oz 2 dashes orange bitters","Shake all ingredients in an ice-filled cocktail shaker. Strain, and Serve.","junipero gin, 1 1/sathenay crème de peche, 1/fresh lemon juice,  oz 2 dashes orange bitters,citrus,bitter","bitter, citrus",9.442729729217948
145,Creole Summer,,"vanilla flavored vodka, luxardo limoncello, fresh sweet n' sour, passion fruit puree, egg white, 7 dash green tabasco",Shake all ingredients with ice. Strain into a chilled cocktail glass.,"vanilla flavored vodka, luxardo limoncello, fresh sweet n' sour, passion fruit puree, egg white, 7 dash green tabasco",sweet,1.6229756382519929
146,Croatia Firing Squad,,"luxardo bitter bianco, lillet blanc, no.3 london dry gin, rose wine","Build cocktail in glass, add ice and stir. Garnish with rose petal.","luxardo bitter bianco, lillet blanc, no.3 london dry gin, rose wine,floral,bitter","bitter, floral",1.7120298651659562
147,Crooked Kilt,,"glenrothes vintage reserve, lime juice , green chartreuse, velvet falernum, pineapple juice",Pour over crushed ice with a mint garnish.,"glenrothes vintage reserve, lime juice , green chartreuse, velvet falernum, pineapple juice,citrus,fruity","citrus, fruity",2.8580763777325022
148,Cuba Liberation,,"pink pigeon rum, fresh lime juice, simple syrup,  oz mexican coca cola, 1 float luxardo fernet",Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.,"pink pigeon rum, fresh lime juice, simple syrup,  oz mexican coca cola, 1 float luxardo fernet,citrus,sweet","citrus, sweet",4.404535285135495
149,Culebra,Collins,"rhum agricole-style, luxardo amaretto di saschira, fresh lime juice, cola, mint sprigs, 2 dash bitters","Place the mint in a Collins glass and muddle for a few seconds to release the oils, then add ice and ingredients, stir well and serve.","rhum agricole-style, luxardo amaretto di saschira, fresh lime juice, cola, mint sprigs, 2 dash bitters,citrus,bitter","bitter, citrus, herbaceous",1.689542658788352
150,Cupid's Carrier Pigeon,Tiki glass,"no.3 london dry gin, velvet falernum, pink pigeon rum, unfiltered apple juice, lime juice, 3 dash angostura bitters","Shake, strain into a Tiki glass over crushed ice and garnish with a large sprig of mint.

","no.3 london dry gin, velvet falernum, pink pigeon rum, unfiltered apple juice, lime juice, 3 dash angostura bitters,citrus,fruity,bitter","bitter, citrus, fruity",3.0673014006981427
151,Cut & Rum,Smoked Glass,"banks 5 rum, denizen aged white rum , denizen aged white rum , luxardo amaro abano","Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin.","banks 5 rum, denizen aged white rum , denizen aged white rum , luxardo amaro abano",,2.52298160232979
152,Cut To The Chase,Coupe,"j.h. cutter whisky, averna amaro, alvear px sherry, 2 dash angostura bitters","Combine all ingredients in to a mixing glass and add ice.

Stir for about 10-15 seconds.

Strain in to a cocktail coupe or a glass of your choosing.

Garnish with an orange twist expressed over the top of the drink.","j.h. cutter whisky, averna amaro, alvear px sherry, 2 dash angostura bitters,bitter",bitter,9.015676087789313
153,Daisy Mae,Rocks Glass,"junipero gin, lime juice, green chartreuse, simple syrup",Shake and strain into a rocks glass. Garnish with a mint sprig.,"junipero gin, lime juice, green chartreuse, simple syrup,citrus,sweet","citrus, sweet",2.003209922837434
154,Dark Caipirinha,Highball glass,"demerara sugar,lime,cachaca","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.","demerara sugar,lime,cachaca,citrus,sweet","citrus, sweet",13.879294837928835
155,Day For Night,Nick & Nora,"c. drouin calvados selection, la quintinye vermouth rouge, pedro ximenez sherry, cannella cinnamon cordial, 1 dash angostura bitters",Stir and strain into a chilled Nick and Nora glass. Garnish with a clove(2) studded orange coin.,"c. drouin calvados selection, la quintinye vermouth rouge, pedro ximenez sherry, cannella cinnamon cordial, 1 dash angostura bitters,bitter",bitter,8.54360635871739
156,Delicious in Mauritius,,"pink pigeon rum, white peach puree, hibiscus syrup, lemon juice, ginger ale","Shake all ingredients except ginger ale, then strain into chilled cocktail ""coupe"" glass. Float ginger ale and zest of fresh lemon.","pink pigeon rum, white peach puree, hibiscus syrup, lemon juice, ginger ale,citrus,fruity","citrus, fruity",4.1666804856971655
157,Delicious Sour,Coupe,"c. drouin calvados selection, lemon juice, giffard abricot du roussillon, egg white","Dry shake. Add ice, shake. Double strain into a frozen coupe glass. Garnish with lemon twist or dehydrated apple slice.","c. drouin calvados selection, lemon juice, giffard abricot du roussillon, egg white,citrus",citrus,1.676030352455468
158,Dernier Mot,Cocktail Glass,"rhum agricole, green chartreuse, luxardo maraschino liqueur, fresh lime juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,"rhum agricole, green chartreuse, luxardo maraschino liqueur, fresh lime juice,citrus","citrus, sweet",1.6929910196447522
159,Desmond's Choice,Old Fashioned Glass,"hirsch small batch reserve bourbon, creme de cacao, pierre ferrand dry orange curacao, 3 dash the bitter truth jerry thomas bitters","In old fashioned glass, lightly muddle orange zest with bitters and orange curacao.  Add bourbon and creme de cacao then stir with ice for proper dilution (depending on ice) and mixing of ingredients.","hirsch small batch reserve bourbon, creme de cacao, pierre ferrand dry orange curacao, 3 dash the bitter truth jerry thomas bitters,citrus,bitter","bitter, citrus",8.863140148220998
160,Deviled Negroni ,Rocks Glass,"no.3 london dry gin, maurin quina, luxardo bitter","Stir all 3 ingredients continuously in an ice-filled glass, approximately 20 seconds. Strain into a rocks glass with one large ice cube.","no.3 london dry gin, maurin quina, luxardo bitter,bitter",bitter,0.8583414575503777
161,Dirty Martini,Cocktail glass,"vodka,dry vermouth,olive brine,lemon,olive","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.","vodka,dry vermouth,olive brine,lemon,olive,citrus","citrus, salty",1.006254434910498
162,Divine Aspect,Coupe,"no.3 london dry gin, apple-infused wild turkey bourbon 101, luxardo apricot liqueur",Stir and strain up into cocktail glass.,"no.3 london dry gin, apple-infused wild turkey bourbon 101, luxardo apricot liqueur,fruity",fruity,0.7985282979877872
163,Division Bell,Martini,"mezcal, aperol, luxardo maraschino liqueur, lime juice",Fill a cocktail shaker with ice. Add ingredients and shake well. Strain into a chilled coupe or martini glass and garnish with the grapefruit twist.,"mezcal, aperol, luxardo maraschino liqueur, lime juice,citrus","citrus, sweet",1.652025464733023
164,Doctor's Orders,Cocktail Glass,"junipero gin, dry vermouth, curacao, 1 dash tempus fugit abbott's bitters",Stir. Serve in a small cocktail glass. Lemon twist to garnish.,"junipero gin, dry vermouth, curacao, 1 dash tempus fugit abbott's bitters,bitter",bitter,1.5785125262097568
165,Don't Rock the Boat Punch,,"1 part no.3 london dry gin, 1 part rooibus tea (steeped and cooled), 1 part mulled cider (cooled), .5 part clover honey syrup, .33 part cava,   angostura","Combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally.","1 part no.3 london dry gin, 1 part rooibus tea (steeped and cooled), 1 part mulled cider (cooled), .5 part clover honey syrup, .33 part cava,   angostura,herbaceous,sweet","herbaceous, sweet",1.6344634046703244
166,Donaji,Rocks Glass,"mezcal, fresh lemon juice, fresh lime juice, agave nectar","Shaken and strained over ice in a rocks glass.

*Chapuline, Salt & Chile Pepper Rim:
Grind the chapuline  (dried crickets) and dried chile pepper in a mortar and pestle, as it becomes a powder, throw in the salt and pour onto a plate. Use a fresh lime wedge to moisten the rim of the glass and dip into the powder.","mezcal, fresh lemon juice, fresh lime juice, agave nectar,citrus,sweet","citrus, sweet",1.9363609556537675
167,Down the Rabbit Hole,Collins," oz junipero gin,  oz lemon,  oz elder flower liquor,  oz honey syrup,  oz carrot juice","Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves."," oz junipero gin,  oz lemon,  oz elder flower liquor,  oz honey syrup,  oz carrot juice,citrus,sweet","citrus, sweet",1.8794955198839216
168,Drink Lab #16,,"brandy, orgeat, luxardo sangue morlacco cherry liqueur, lemon juice, 10 drops bittermens burlesque bitters","Shake, strain, lemon twist garnish.","brandy, orgeat, luxardo sangue morlacco cherry liqueur, lemon juice, 10 drops bittermens burlesque bitters,citrus,fruity,bitter","bitter, citrus, fruity",8.995475179950656
169,Drops of Jupiter,Rocks Glass,"junipero gin, genevieve gin, rich wild sage honey syrup, 1 dash angostura bitters, 1 dash whiskey barrel aged bitters, spring water",Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.,"junipero gin, genevieve gin, rich wild sage honey syrup, 1 dash angostura bitters, 1 dash whiskey barrel aged bitters, spring water,herbaceous,sweet,bitter","bitter, herbaceous, sweet",1.65683121835359
170,Dry Mauritian Sour,,"pink pigeon rum, campari, lavender syrup, lemon juice , orange juice, egg white","Dry shake, shake with cubed ice, double strain into chilled glass.","pink pigeon rum, campari, lavender syrup, lemon juice , orange juice, egg white,floral,citrus","citrus, floral",3.7834125198977206
171,Duchamp's Punch,Old-fashioned glass,"pisco,lime juice,pineapple syrup,st. germain,angostura bitters,pepper,lavender","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs","pisco,lime juice,pineapple syrup,st. germain,angostura bitters,pepper,lavender,floral,citrus,fruity,bitter","bitter, citrus, floral, fruity",3.5011201579154165
172,Duke's Classic Dry Martini,Martini,"no.3 london dry gin,  extra dry vermouth, 1  amalfi lemon","Pour the Extra Dry Vermouth into a frozen martini glass (either 7 oz. or 5.5 oz. glass) and coat in a circular motion. Top up the glass with ice cold No.3 gin. Pare the rind of an Amalfi lemon, and give it a twist to extract the oils into the glass.","no.3 london dry gin,  extra dry vermouth, 1  amalfi lemon,citrus",citrus,0.942065498327253
173,Dutch Stories,,"genevieve gin, luxardo apricot liqueur, luxardo maraschino liqueur, fresh lemon juice,  gooseberry jam","Shake the ingredients with ice, then strain into a chilled cocktail glass.","genevieve gin, luxardo apricot liqueur, luxardo maraschino liqueur, fresh lemon juice,  gooseberry jam,citrus,fruity","citrus, fruity, sweet",1.797556858919723
174,"Eat, Drink and Be Cherry",Bamboo Highball Glass,"nikka coffey grain whisky, luxardo sangue morlacco cherry liqueur, mendolera, cane sugar, lemon, fever-tree soda","Shake everything except for the soda water, strain into bamboo highball, add soda, add ice, garnish with 3 picked cherries.","nikka coffey grain whisky, luxardo sangue morlacco cherry liqueur, mendolera, cane sugar, lemon, fever-tree soda,citrus,fruity,sweet","citrus, fruity, sweet",7.831875016360357
175,Eden's Apple,Coupe,"apple & cinnamon-infused karlsson's gold vodka, j. t. taylor's falernum, fresh lemon juice, fresh cider, 1 tincture bar keep baked apple bitters","In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with the apple slice. Can also be served warm.","apple & cinnamon-infused karlsson's gold vodka, j. t. taylor's falernum, fresh lemon juice, fresh cider, 1 tincture bar keep baked apple bitters,citrus,fruity,bitter","bitter, citrus, fruity",1.6669526372412125
176,El Cortez,,"luxardo apricot liqueur, chinaco reposado tequila, dry riesling","Stir the first two ingredients with ice, then strain into a chilled wine glass. Top with chilled wine, stir and serve.","luxardo apricot liqueur, chinaco reposado tequila, dry riesling,fruity",fruity,2.52298160232979
177,El Mustavo,,"mezcal, tempus fugit alessio vermouth chinato, campari, 2 dash rhubarb bitters, 2 dash orange bitters",Stir all ingredients and pour over 2-inch single ice cube. Garnish with birch smoked sea salt rim and bow tie orange peel.,"mezcal, tempus fugit alessio vermouth chinato, campari, 2 dash rhubarb bitters, 2 dash orange bitters,citrus,bitter","bitter, citrus",1.5785125262097568
178,Elgin Elixir,Rocks Glass,"benriach single malt 12 yo, c. drouin calvados selection, luxardo aperitivo",Combine ingredients with ice in a mixing glass and stir. Strain over a large cube in a rocks glass and garnish with an orange peel.,"benriach single malt 12 yo, c. drouin calvados selection, luxardo aperitivo",,2.268972551446787
179,End of Winter,,"h by hine (brown butter-infused), king's ginger liqueur, 3 dash fee brothers black walnut bitters","Combine H by HINE, King's Ginger Liqueur, and bitters over ice in a mixing glass. Stir until you reach proper dilution(15-20 seconds). Strain over a large ice rock in a bucket glass and garnish with Luxardo Cherries.","h by hine (brown butter-infused), king's ginger liqueur, 3 dash fee brothers black walnut bitters,bitter",bitter,8.318508570105115
180,Endless Summer,Coupe,"ypioca brasilizar cachaca prata reserva especial, luxardo bitter, luxardo maraschino liqueur, lemon juice, 1 dash lemon bitters",Served up in a coupe glass.,"ypioca brasilizar cachaca prata reserva especial, luxardo bitter, luxardo maraschino liqueur, lemon juice, 1 dash lemon bitters,citrus,bitter","bitter, citrus, sweet",9.06976874166649
181,English Harbour Colada,Old Fashioned Glass,"english harbour rum 5 yo, fresh squeezed pineapple juice, fresh coconut water",Build in old fashioned glass over ice.,"english harbour rum 5 yo, fresh squeezed pineapple juice, fresh coconut water,fruity",fruity,3.366952165587802
182,Erasmus' Revenge,,"junipero gin, carpano antica, 1 bsp calisaya, 3 dash the bitter truth grapefruit bitters",Combine ingredients. Pour over big cube and stir. Add the grapefruit peel.,"junipero gin, carpano antica, 1 bsp calisaya, 3 dash the bitter truth grapefruit bitters,fruity,bitter","bitter, fruity",8.469393320741663
183,Espèce de Sazerac,Rocks Glass,"h by hine, old overholt straight rye whiskey, rittenhouse straight rye whisky, 1 bsp rich demerara simple syrup, 3 dash peychaud's bitters","Stir all ingredients together, strain into a chilled large rocks glass, no ice. Twist a zest of lemon above the drink, dip it once and then discard.","h by hine, old overholt straight rye whiskey, rittenhouse straight rye whisky, 1 bsp rich demerara simple syrup, 3 dash peychaud's bitters,sweet,bitter","bitter, sweet",1.362477977196584
184,Espresso Martini,Cocktail glass,"vodka,kahlua,sugar syrup","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass","vodka,kahlua,sugar syrup,sweet",sweet,9.204302360680895
185,Essence No.5 (Adapted),,"no.3 london dry gin, luxardo triplum (triple sec), lavander syrup, fresh lime juice, 4  raspberries",Shake all ingredients with ice then double strain into a chilled cocktail glass. Garnish with channeled lemon and raspberry on the rim.,"no.3 london dry gin, luxardo triplum (triple sec), lavander syrup, fresh lime juice, 4  raspberries,citrus,fruity","citrus, fruity",1.960650313169122
186,Far From the Tree,Fizz Glass,"c. drouin calvados selection, orgeat, lemon juice, pear & celery puree, .5  egg white","Dry Shake (no ice), Wet Shake (with ice) & Double Strain.","c. drouin calvados selection, orgeat, lemon juice, pear & celery puree, .5  egg white,citrus,fruity","citrus, fruity",1.6607953708106489
187,Farmer's Gold,Cocktail Glass,"karlsson's gold vodka, fresh lemon juice, simple syrup (1:1), 3 dash regans' orange bitters, 5 large basil leaves, 16 whole black peppercorns","Muddle 4 basil leaves, 16 peppercorns and simple syrup in shaker tin. Add all other ingredients except final basil leaf. Add ice. Shake vigorously. Fine strain into chilled cocktail glass. Express lemon oil from lemon swath over drink. Garnish with lemon swath and final basil leaf.","karlsson's gold vodka, fresh lemon juice, simple syrup (1:1), 3 dash regans' orange bitters, 5 large basil leaves, 16 whole black peppercorns,citrus,sweet,bitter","bitter, citrus, herbaceous, sweet",1.9278089619337129
188,Feingold,,"brandy, orange cordial, 1 bsp luxardo sangue morlacco cherry liqueur, 1  luxardo cherry (muddled), 1 dash aromatic bitters, 1 dash cherry bitters","Muddle cherry in liquid ingredients. Shake, double strain over cracked ice. Garnish with two more cherries on a pick with an orange flag.","brandy, orange cordial, 1 bsp luxardo sangue morlacco cherry liqueur, 1  luxardo cherry (muddled), 1 dash aromatic bitters, 1 dash cherry bitters,citrus,fruity,bitter","bitter, citrus, fruity",8.672814361493929
189,Fernet Frappe,,"luxardo fernet, king's ginger liqueur, cola, 1 wedge lemon juice","Pour ingredients over crushed ice into a stemmed glass, stir well and serve.","luxardo fernet, king's ginger liqueur, cola, 1 wedge lemon juice,citrus",citrus,1.6322333042507928
190,Fiery Clydesdale,Highball Glass,"pusser's blue label rum , king's ginger liqueur, ginger syrup, lime juice,  top homemade pink grapefruit soda","Wet shake all ingredients except grapefruit soda, pour over ice and top with grapefruit soda. Rim glass with grapefruit demerara. Add dehydrated grapefruit wheel and slice of fresh root ginger for garnish.","pusser's blue label rum , king's ginger liqueur, ginger syrup, lime juice,  top homemade pink grapefruit soda,citrus,fruity","citrus, fruity",4.240955341848471
191,Figge bout it,Double Rocks Glass,"westland american single malt, lustau pedro ximénez sherry, lemon juice, fig & cinnamon syrup, 1 dash angostura bitters",Shake and double strain into double rocks glass. Garnish with torched cinnamon stick and Luxardo Cherry.,"westland american single malt, lustau pedro ximénez sherry, lemon juice, fig & cinnamon syrup, 1 dash angostura bitters,citrus,bitter","bitter, citrus",9.292953130832652
192,Final Ward,Cocktail Glass,"rye whiskey, green chartreuse, luxardo maraschino liqueur, fresh lemon juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,"rye whiskey, green chartreuse, luxardo maraschino liqueur, fresh lemon juice,citrus","citrus, sweet",1.786243269764337
193,Fiona Graham,Nick & Nora,"luxardo bitter bianco, junmai sake, coconut rum, 1 dash orange bitters, 1 dash coconut vinegar",Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,"luxardo bitter bianco, junmai sake, coconut rum, 1 dash orange bitters, 1 dash coconut vinegar,citrus,fruity,bitter","bitter, citrus, fruity",8.827070149493627
194,Flambeed Brandy Alexander,Mug,"h by hine, tempus fugit creme de cacao, cream (steamed as for a cappuccino)","Warm and flame H by Hine VSOP Fine Champagne in metal mug like a Blue Blazer without the tossing back and forth.
Douse flame of heated brandy with cacao, top with foamed cream.
Garnish with freshly grated nutmeg.
","h by hine, tempus fugit creme de cacao, cream (steamed as for a cappuccino),bitter",bitter,3.3770573143369376
195,Flamenco,Coupe,"lustau amontillado sherry, bols genever, orange juice, lemon juice, luxardo orgeat syrup, 2 dash angostura bitters","Shake all the ingredients with ice, then strain into a coupe. No garnish.","lustau amontillado sherry, bols genever, orange juice, lemon juice, luxardo orgeat syrup, 2 dash angostura bitters,citrus,bitter","bitter, citrus",9.998270904704968
196,Flaming Lamborghini,Cocktail glass,"kahlua,sambuca,blue curacao,bailey's irish cream","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!","kahlua,sambuca,blue curacao,bailey's irish cream,floral",floral,1.4119811453513735
197,Flight to Peru,,"barsol selecto italia pisco, fresh grapefruit juice, simple syrup, luxardo maraschino liqueur, 1 dash chocolate mole bitters",Shake and serve up. Garnish elaborately with a Luxardo Cherry and a grapefruit peel.,"barsol selecto italia pisco, fresh grapefruit juice, simple syrup, luxardo maraschino liqueur, 1 dash chocolate mole bitters,fruity,sweet,bitter","bitter, fruity, sweet",1.7403231152736105
198,Flip and Flight,,"pink pigeon rum, dry oloroso sherry, grenadine, 1 whole egg,   vanilla-salt spray","Dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution.","pink pigeon rum, dry oloroso sherry, grenadine, 1 whole egg,   vanilla-salt spray","salty, sweet",2.8302539283949053
199,Flip the Bird,Port Glass,"pink pigeon rum, simple syrup, cream, punt e mes, 1  egg yolk","Shake without ice, to whip and emulsify ingredients until frothy. Add ice to shaker and shake vigorously. Strain into port glass or small fluted glass. Garnish with shaved cinnamon or nutmeg.
","pink pigeon rum, simple syrup, cream, punt e mes, 1  egg yolk,sweet",sweet,3.101924378073241
200,Floral Summer,Martini,"no.3 london dry gin, honey syrup , fresh lemon syrup ,   tarragon leaves,   lavender bitters",Shake and strain into a martini glass.,"no.3 london dry gin, honey syrup , fresh lemon syrup ,   tarragon leaves,   lavender bitters,floral,citrus,sweet,bitter","bitter, citrus, floral, sweet",2.042197040293822
201,Fortune & Glory,Coupe,"chinaco reposado tequila, lime juice, h by hine, small hand foods orgeat, falernum, 2 dash mole bitters","Shake, strain into a chilled coupe. Garnish with lime wheel.","chinaco reposado tequila, lime juice, h by hine, small hand foods orgeat, falernum, 2 dash mole bitters,citrus,bitter","bitter, citrus",9.1505247832825
202,Fourth Generation,Nick & Nora,"mezcal, luxardo espresso italian liqueur, luxardo bitter bianco, 2 dash salted chocolate bitters",Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.,"mezcal, luxardo espresso italian liqueur, luxardo bitter bianco, 2 dash salted chocolate bitters,bitter","bitter, salty",8.916318483106801
203,Frankie and Johnnie,,"king's ginger liqueur, c. drouin pommeau de normandie, fresh lemon juice, fresh orange juice, 1 dash jerry thomas bitters",Shake and serve up.,"king's ginger liqueur, c. drouin pommeau de normandie, fresh lemon juice, fresh orange juice, 1 dash jerry thomas bitters,citrus,bitter","bitter, citrus",9.1505247832825
204,French 33,Champagne Flute,"no.3 london dry gin, simple syrup, lime juice","Shake with ice, strain into flute, top with sparkling rose and a grapefruit twist.","no.3 london dry gin, simple syrup, lime juice,citrus,sweet","citrus, sweet",2.2404886070567414
205,French 75,Champagne Flute,"no.3 london dry gin or h by hine, fresh lemon juice, 1 dash simple syrup, 1 float sparkling wine","Mix the gin or cognac, lemon juice and syrup in a cocktail shaker. Pour the contents into a Champagne flute. Top up with Champagne. Add a Luxardo Cherry or a peel of lemon.","no.3 london dry gin or h by hine, fresh lemon juice, 1 dash simple syrup, 1 float sparkling wine,citrus,sweet","citrus, sweet",2.6130241301667176
206,French Maid,,"h by hine, house ginger beer, lime juice, simple syrup, john d. taylor's velvet falernum, 3  cucumber wheels, 8  mint leaves, 1  mint sprig","Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel.","h by hine, house ginger beer, lime juice, simple syrup, john d. taylor's velvet falernum, 3  cucumber wheels, 8  mint leaves, 1  mint sprig,citrus,sweet","citrus, herbaceous, sweet",4.084792168370978
207,French Martini,Cocktail glass,"vodka,raspberry liqueur,pineapple juice",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,"vodka,raspberry liqueur,pineapple juice,fruity",fruity,2.977580470178065
208,Frisco San,Martini,"nikka whisky taketsuru pure malt 12 yo, barsol perfecto amor (aperitif wine), benedictine, 1 dash angostura bitters",Stir all ingredients with ice. Strain into a chilled Martini glass. Garnish with a lemon peel.,"nikka whisky taketsuru pure malt 12 yo, barsol perfecto amor (aperitif wine), benedictine, 1 dash angostura bitters,bitter",bitter,8.486398488247007
209,Full of Bologna,Coupe,"c. drouin calvados selection, luxardo amaro abano, pear watercress puree, lemon juice",Shaken and strained into a large coupe. Mint oil is house-made and used as a garnish.,"c. drouin calvados selection, luxardo amaro abano, pear watercress puree, lemon juice,citrus,fruity","citrus, fruity",1.6607953708106489
210,Gagliardo,Cocktail glass,"peach vodka,lemon juice,galliano,sirup of roses","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.","peach vodka,lemon juice,galliano,sirup of roses,floral,citrus,fruity","citrus, floral, fruity",0.9074423275639776
