Cocktail,strGlass,strIBA,Ingredients,Preparation,Notes
Cupid's Carrier Pigeon,Tiki glass,,"1 oz No.3 London Dry Gin, 1 oz Velvet Falernum, .75 oz Pink Pigeon Rum, 1 oz Unfiltered Apple Juice, 1 oz Lime juice, 3 dash Angostura bitters","Shake, strain into a Tiki glass over crushed ice and garnish with a large sprig of mint.

",
Cut & Rum,Smoked Glass,,".75 oz Banks 5 Rum, .75 oz Denizen Aged White Rum , .75 oz Denizen Aged White Rum , .75 oz Luxardo Amaro Abano","Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin.",
Cut and Run,Old Fashioned Glass,,"1.5 oz J.H. Cutter Whisky, 1 oz  Moroccan Mint Tea (chilled)*, .75 oz The King's Ginger, .5 oz Lemon Juice, .25 oz Rich Honey Syrup**","Combine all the ingredients in a mixing glass and stir for about 10 seconds. Strain in to an Old Fashioned glass or glass of your choosing. Add large ice cubes. Garnish with a lemon wheel, mint sprigs and a blackberry.

*Moroccan Mint Tea (Numi Tea Brand):
-- 1 Moroccan Mint Tea Bag
-- 8 oz. Boiling Water
 
Combine the tea bag and the boiling water in a cup or a pot. Let steep for 5 minutes. Remove the tea bag and place the tea in the fridge to cool. Label and date the container. Will keep for 1 week.

**Rich Honey Syrup:
-- 10 oz. Honey
-- 5 oz. Hot Water

Combine both ingredients together in a container and stir until fully incorporated. Label and date the container. Will keep in the fridge for 2 weeks.","This can be served individually, but can also be made in to a punch and just served over one large block of ice. Just garnish with lots of lemon wheels, mint leaves and blackberries."
Cut To The Chase,Coupe,,"2 oz J.H. Cutter Whisky, .75 oz Averna Amaro, .5 oz Alvear PX Sherry, 2 dash Angostura Bitters","Combine all ingredients in to a mixing glass and add ice.

Stir for about 10-15 seconds.

Strain in to a cocktail coupe or a glass of your choosing.

Garnish with an orange twist expressed over the top of the drink.",
Daisy Mae,Rocks Glass,,"2 oz Junipero Gin, 1 oz Lime Juice, .75 oz Green Chartreuse, .75 oz Simple Syrup",Shake and strain into a rocks glass. Garnish with a mint sprig.,
Dark Caipirinha,Highball glass,,"2 tsp demerara Sugar,1 Lime,2 1/2 oz Cachaca","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",
Day For Night,Nick & Nora,,"1.5 oz C. Drouin Calvados Selection, .5 oz La Quintinye Vermouth Rouge, .25 oz Pedro Ximenez Sherry, .25 oz Cannella Cinnamon Cordial, 1 dash Angostura bitters",Stir and strain into a chilled Nick and Nora glass. Garnish with a clove(2) studded orange coin.,
Delicious in Mauritius,N/A,,"1.5 oz Pink Pigeon Rum, .5 oz White peach puree, .25 oz Hibiscus syrup, .25 oz Lemon juice, .5 oz Ginger ale","Shake all ingredients except ginger ale, then strain into chilled cocktail ""coupe"" glass. Float ginger ale and zest of fresh lemon.",
Delicious Sour,Coupe,,"2 oz C. Drouin Calvados Selection, .75 oz Lemon Juice, .75 oz Giffard Abricot du Roussillon, .5 oz Egg White","Dry shake. Add ice, shake. Double strain into a frozen coupe glass. Garnish with lemon twist or dehydrated apple slice.",
Dernier Mot,Cocktail Glass,,".75 oz Rhum Agricole, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,"Photo credit: Douglas M. Ford, cold-glass.com"
Desmond's Choice,Old Fashioned Glass,,"2 oz Hirsch Small Batch Reserve Bourbon, .5 oz Creme de Cacao, .25 oz Pierre Ferrand Dry Orange Curacao, 3 dash The Bitter Truth Jerry Thomas Bitters","In old fashioned glass, lightly muddle orange zest with bitters and orange curacao.  Add bourbon and creme de cacao then stir with ice for proper dilution (depending on ice) and mixing of ingredients.",
Deviled Negroni ,Rocks Glass,,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, 1 oz Luxardo Bitter","Stir all 3 ingredients continuously in an ice-filled glass, approximately 20 seconds. Strain into a rocks glass with one large ice cube.","For a slightly sweeter version, replace Luxardo Bitter with Aperol."
Dirt Nap,Nick & Nora,,"1.5 oz Noilly Prat Dry Vermouth*, .75 oz Oloroso Sherry, .75 oz King's Ginger Liqueur",Stir with ice and serve in a Nick and Nora glass (slimmer version of a coupe).,*Noilly Prat Dry Vermouth- Infused with Porcini Mushroom
Dirty Martini,Cocktail glass,,"70ml/2fl oz Vodka,1 tbsp Dry Vermouth,2 tbsp Olive Brine,1 wedge Lemon,1 Olive","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",
Divine Aspect,Coupe,,"1 oz No.3 London Dry Gin, 1 oz Apple-infused Wild Turkey Bourbon 101, 1 oz Luxardo Apricot Liqueur",Stir and strain up into cocktail glass.,
Division Bell,Martini,,"1 oz Mezcal, .75 oz Aperol, .5 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice",Fill a cocktail shaker with ice. Add ingredients and shake well. Strain into a chilled coupe or martini glass and garnish with the grapefruit twist.,Photo credit: Tina Rupp
Doctor's Orders,Cocktail Glass,,"1.75 oz Junipero Gin, .75 oz Dry Vermouth, .25 oz Curacao, 1 dash Tempus Fugit Abbott's Bitters",Stir. Serve in a small cocktail glass. Lemon twist to garnish.,
Doitashimashie,Old Fashioned Glass,,"2 oz Nikka Coffey Grain Whisky, .25 oz Demerara Syrup, 1 dash Angostura bitters",,
Don't Rock the Boat Punch,N/A,,"1 part No.3 London Dry Gin, 1 part Rooibus Tea (steeped and cooled), 1 part Mulled Cider (cooled), .5 part Clover Honey Syrup, .33 part Cava,   Angostura","Combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally.",
Donaji,Rocks Glass,,"2 oz Mezcal, .5 oz Fresh Lemon Juice, .5 oz Fresh Lime Juice, .75 oz Agave Nectar","Shaken and strained over ice in a rocks glass.

*Chapuline, Salt & Chile Pepper Rim:
Grind the chapuline  (dried crickets) and dried chile pepper in a mortar and pestle, as it becomes a powder, throw in the salt and pour onto a plate. Use a fresh lime wedge to moisten the rim of the glass and dip into the powder.",
Double Trouble,Pilsner Glass,,"1.5 oz Junipero Gin, 1 oz Strawberry & Black Pepper Shrub*, .75 oz Hidalgo La Gitana Manzanilla Sherry, .5 oz Lemon Juice , few drops Peychaud's Bitters","Shake with ice and strain into a footed pilsner glass. Add a few drops of bitters. Garnish with a mint leaf. 

*Strawberry & Black Pepper Shrub:
-- 1 cup Sliced Strawberries
-- 1 cup Granulated Sugar
-- 1 cup Champagne Vinegar
-- 1 handful of Black Balinese Peppers

Combine all ingredients in a medium bowl. Using a potato masher or a wooden spoon, mash the berries so they release their juices. Stir until the sugar has mostly dissolved and refrigerate overnight.
The next day, remove the mixture to a saucepan and heat gently over medium-low heat. Do not bring to a simmer--you simply want to heat the mixture to coax the sugar to dissolve.
Strain the shrub through a fine mesh strainer. If desired, strain again through a coffee filter. Refrigerate.",Junipero Gin 20th Anniversary Signature Cocktail
Down the Rabbit Hole,Collins,," oz Junipero Gin,  oz Lemon,  oz Elder Flower Liquor,  oz Honey Syrup,  oz Carrot Juice","Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves.",
Drink Lab #16,N/A,,"2 oz Brandy, .75 oz Orgeat, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice, 10 drops Bittermens Burlesque Bitters","Shake, strain, lemon twist garnish.",
Drops of Jupiter,Rocks Glass,,"1.5 oz Junipero Gin, .5 oz Genevieve Gin, .25 oz Rich Wild Sage Honey Syrup, 1 dash Angostura Bitters, 1 dash Whiskey Barrel Aged Bitters, .75 oz Spring Water",Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.,"All ingredients should be kept at room temperature.

Rich wild sage honey syrup: 2 parts local unfilteres, unprocessed, raw honey with 1 part water"
Dry Mauritian Sour,N/A,,"40 ml Pink Pigeon Rum, 10 ml Campari, 10 ml Lavender syrup, 10 ml Lemon juice , 10 ml Orange juice, 25 ml Egg white","Dry shake, shake with cubed ice, double strain into chilled glass.",
Duchamp's Punch,Old-fashioned glass,,"5 cl Pisco,2.5 cl Lime Juice,2.5 cl Pineapple Syrup,1.5 cl St. Germain,2 Dashes Angostura Bitters,Pinch Pepper,2 sprigs Lavender","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",
Duke's Classic Dry Martini,Martini,,"3 oz No.3 London Dry Gin, 1 tsp Extra Dry Vermouth, 1  Amalfi Lemon","Pour the Extra Dry Vermouth into a frozen martini glass (either 7 oz. or 5.5 oz. glass) and coat in a circular motion. Top up the glass with ice cold No.3 gin. Pare the rind of an Amalfi lemon, and give it a twist to extract the oils into the glass.",
Dutch Stories,N/A,,"1.5 oz Genevieve Gin, .75 oz Luxardo Apricot Liqueur, .25 oz Luxardo Maraschino Liqueur, .5 oz Fresh lemon juice, 1 Tbsp Gooseberry Jam","Shake the ingredients with ice, then strain into a chilled cocktail glass.",
"Eat, Drink and Be Cherry",Bamboo Highball Glass,,".75 oz Nikka Coffey Grain Whisky, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Mendolera, .5 oz Cane Sugar, .5 oz Lemon, 3 oz Fever-Tree Soda","Shake everything except for the soda water, strain into bamboo highball, add soda, add ice, garnish with 3 picked cherries.",
Eden's Apple,Coupe,,"1.5 oz Apple & Cinnamon-Infused Karlsson's Gold Vodka, .75 oz J. T. Taylor's Falernum, .5 oz Fresh lemon juice, 1 oz Fresh Cider, 1 tincture Bar Keep Baked apple bitters","In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with the apple slice. Can also be served warm.","Apple & Cinnamon-Infused Karlsson's Gold Vodka (yield- 750 ml.):

Ingredients
- 3-4 Crisp apples such as pink lady or honey crisp (cored and sliced)
- 6 Whole cinnamon sticks

Instructions
In a large canning jar, combine all ingredients. Reserve the bottle for storage later. Shake well and store in cool dry place for 24 hours. Once infused strain through a fine mesh strainer and discard apples and cinnamon. Using a funnel pour the infusion back into the bottle and store it in a cool dark place."
El Cortez,N/A,,"1 oz Luxardo Apricot Liqueur, 1.5 oz Chinaco Reposado Tequila, 2 oz Dry Riesling","Stir the first two ingredients with ice, then strain into a chilled wine glass. Top with chilled wine, stir and serve.",
El Mustavo,N/A,,"2 oz Mezcal, 1 oz Tempus Fugit Alessio Vermouth Chinato, 1 oz Campari, 2 dash Rhubarb Bitters, 2 dash Orange Bitters",Stir all ingredients and pour over 2-inch single ice cube. Garnish with birch smoked sea salt rim and bow tie orange peel.,
Elderfashion,N/A,,"2 oz Hirsch Small Batch Reserve Bourbon, 1 oz Pages Elderflower Syrup, 1 dash Angostura bitters",,
Elgin Elixir,Rocks Glass,,"1 oz BenRiach Single Malt 12 YO, 1 oz C. Drouin Calvados Selection, 1 oz Luxardo Aperitivo",Combine ingredients with ice in a mixing glass and stir. Strain over a large cube in a rocks glass and garnish with an orange peel.,
End of Winter,N/A,,"2 oz H by HINE (Brown Butter-Infused), 0.5 oz King's Ginger Liqueur, 3 dash Fee Brothers Black Walnut Bitters","Combine H by HINE, King's Ginger Liqueur, and bitters over ice in a mixing glass. Stir until you reach proper dilution(15-20 seconds). Strain over a large ice rock in a bucket glass and garnish with Luxardo Cherries.",
Endless Summer,Coupe,,"1.5 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, .75 oz Luxardo Bitter, .25 oz Luxardo Maraschino Liqueur, .75 oz Lemon Juice, 1 dash Lemon Bitters",Served up in a coupe glass.,
Engaged and Cant-Aloupe,Rocks Glass,,"1.5 oz BarSol Supremo Moste Verde Italia Pisco, 1.25 oz Fresh Cantaloupe Juice, .5 oz Fresh Lime Juice, .75 oz Beet Sugar Water*, 1  Egg White","Garnish with 3 drops of Angostura Bitters over foam.

*Beet Sugar Water:
-- 50% Beet Sugar
-- 50% Water",Featured on Extra TV June 2016
English Harbour Colada,Old Fashioned Glass,,"2 oz English Harbour Rum 5 YO, 2 oz Fresh Squeezed Pineapple Juice, 2 oz Fresh Coconut Water",Build in old fashioned glass over ice.,
Erasmus' Revenge,N/A,,"2 oz Junipero Gin, .5 oz Carpano Antica, 1 bsp Calisaya, 3 dash The Bitter Truth Grapefruit Bitters",Combine ingredients. Pour over big cube and stir. Add the grapefruit peel.,
Espèce de Sazerac,Rocks Glass,,"1 oz H by HINE, .5 oz Old Overholt Straight Rye Whiskey, .5 oz Rittenhouse Straight Rye Whisky, 1 bsp Rich Demerara Simple Syrup, 3 dash Peychaud's Bitters","Stir all ingredients together, strain into a chilled large rocks glass, no ice. Twist a zest of lemon above the drink, dip it once and then discard.",
Espresso Martini,Cocktail glass,,"5 cl Vodka,1 cl Kahlua,1 dash Sugar syrup","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",
Essence No.5 (Adapted),N/A,,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Triplum (Triple Sec), .5 oz Lavander syrup, 1 oz Fresh lime juice, 4  Raspberries",Shake all ingredients with ice then double strain into a chilled cocktail glass. Garnish with channeled lemon and raspberry on the rim.,"Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Luxardo Dry Gin, which we have replaced with No.3 London Dry Gin."
Far From the Tree,Fizz Glass,,"1.5 oz C. Drouin Calvados Selection, .75 oz Orgeat, .5 oz Lemon Juice, 1 oz Pear & Celery Puree, .5  Egg white","Dry Shake (no ice), Wet Shake (with ice) & Double Strain.",
Farmer's Gold,Cocktail Glass,,"2 oz Karlsson's Gold Vodka, .75 oz Fresh Lemon Juice, 1 oz Simple Syrup (1:1), 3 dash Regans' Orange Bitters, 5 large Basil Leaves, 16 whole Black Peppercorns","Muddle 4 basil leaves, 16 peppercorns and simple syrup in shaker tin. Add all other ingredients except final basil leaf. Add ice. Shake vigorously. Fine strain into chilled cocktail glass. Express lemon oil from lemon swath over drink. Garnish with lemon swath and final basil leaf.",
Feingold,N/A,,"2 oz Brandy, .5 oz Orange Cordial, 1 bsp Luxardo Sangue Morlacco Cherry Liqueur, 1  Luxardo Cherry (muddled), 1 dash Aromatic Bitters, 1 dash Cherry Bitters","Muddle cherry in liquid ingredients. Shake, double strain over cracked ice. Garnish with two more cherries on a pick with an orange flag.",
Fernet Frappe,N/A,,"1.5 oz Luxardo Fernet, .5 oz King's Ginger Liqueur, 2 oz Cola, 1 wedge Lemon juice","Pour ingredients over crushed ice into a stemmed glass, stir well and serve.",
Fiery Clydesdale,Highball Glass,,"1.5 oz Pusser's Blue Label Rum , .5 oz King's Ginger Liqueur, .5 oz Ginger Syrup, .25 oz Lime Juice,  top Homemade Pink Grapefruit Soda","Wet shake all ingredients except grapefruit soda, pour over ice and top with grapefruit soda. Rim glass with grapefruit demerara. Add dehydrated grapefruit wheel and slice of fresh root ginger for garnish.",
Figge bout it,Double Rocks Glass,,"2 oz Westland American Single Malt, .25 oz Lustau Pedro Ximénez Sherry, .75 oz Lemon Juice, .5 oz Fig & Cinnamon Syrup, 1 dash Angostura Bitters",Shake and double strain into double rocks glass. Garnish with torched cinnamon stick and Luxardo Cherry.,
Final Ward,Cocktail Glass,,".75 oz Rye Whiskey, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lemon Juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,"Photo credit: Douglas M. Ford, cold-glass.com"
Fiona Graham,Nick & Nora,,"1.5 oz Luxardo Bitter Bianco, 1 oz Junmai Sake, .25 oz Coconut Rum, 1 dash Orange Bitters, 1 dash Coconut Vinegar",Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,
Five Star Cocktail,N/A,,"1.5 oz King's Ginger Liqueur, .5 oz B.G. Reynolds Cinnamon syrup, .5 oz Grapefruit juice, .5 oz Lemon juice, .5 oz Luxardo Amaro Abano, 1 dash Bar Keep fennel bitters",,
Fizzy Rhubarb Mule,Collins,,"2 oz Rhubarb Infused Gin*, .5 oz King's Ginger Liqueur, .75 oz Lemon, .75 oz Simple Syrup , 1  Egg White,   Soda","Combine all ingredients except soda in a tin and dry shake. Add ice and shake vigorously. Add soda into a collins glass and slowly strain the drink over it until it forms a head. Garnish with one rhubarb stalk.

*Rhubarb Infused Gin:
750 ml of gin with 3 chopped stalks of fresh rhubarb for 48 hours",
Flambeed Brandy Alexander,Mug,,"2 oz H by HINE, 1 oz Tempus Fugit Creme de Cacao, 1 oz Cream (steamed as for a cappuccino)","Warm and flame H by Hine VSOP Fine Champagne in metal mug like a Blue Blazer without the tossing back and forth.
Douse flame of heated brandy with cacao, top with foamed cream.
Garnish with freshly grated nutmeg.
",
Flamenco,Coupe,,"1.5 oz Lustau Amontillado Sherry, 1 oz Bols Genever, .5 oz Orange Juice, .5 oz Lemon Juice, .75 oz Luxardo Orgeat Syrup, 2 dash Angostura Bitters","Shake all the ingredients with ice, then strain into a coupe. No garnish.",
Flaming Lamborghini,Cocktail glass,,"1 oz Kahlua,1 oz Sambuca,1 oz Blue Curacao,1 oz Bailey's irish cream","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",
Flight to Peru,N/A,,"1.5 oz BarSol Selecto Italia Pisco, 1 oz Fresh Grapefruit Juice, .25 oz Simple Syrup, .25 oz Luxardo Maraschino Liqueur, 1 dash Chocolate Mole Bitters",Shake and serve up. Garnish elaborately with a Luxardo Cherry and a grapefruit peel.,
Flip and Flight,N/A,,"30 ml Pink Pigeon Rum, 15 ml Dry Oloroso Sherry, 15 oz Grenadine, 1 whole Egg,   Vanilla-Salt Spray","Dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution.",
Flip the Bird,Port Glass,,"1.5 oz Pink Pigeon Rum, .75 oz Simple syrup, .75 oz Cream, .5 oz Punt e Mes, 1  Egg yolk","Shake without ice, to whip and emulsify ingredients until frothy. Add ice to shaker and shake vigorously. Strain into port glass or small fluted glass. Garnish with shaved cinnamon or nutmeg.
",
Flor de Amaras,N/A,,"1.5 oz Mezcal, 1 oz Hibiscus Simple Syrup*, .5 oz Lime Juice,  top Soda Water","*Hibiscus Simple Syrup:
1:1 w/ a cup of dried hibiscus steeping for 30-40 min",
Floral Summer,Martini,,"1.5 oz No.3 London Dry Gin, .5 oz Honey syrup , .75 oz Fresh lemon syrup ,   Tarragon leaves,   Lavender bitters",Shake and strain into a martini glass.,
Fortune & Glory,Coupe,,"1.5 oz Chinaco Reposado Tequila, 1 oz Lime Juice, .5 oz H by HINE, .5 oz Small Hand Foods Orgeat, .5 oz Falernum, 2 dash Mole Bitters","Shake, strain into a chilled coupe. Garnish with lime wheel.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Fourth Generation,Nick & Nora,,"1.5 oz Mezcal, .25 oz Luxardo Espresso Italian Liqueur, .75 oz Luxardo Bitter Bianco, 2 dash Salted Chocolate Bitters",Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.,
Framboise de Pigeon,Martini,,"2 oz Pink Pigeon Rum, .5 oz Briottet Creme de Framboise (Raspberry), .5 oz Lemon juice, .25 oz Simple syrup*",Double strain into a martini glass.,*Simple syrup is infused with basil leaves and cherry tomato confit muddled.
Frankie and Johnnie,N/A,,"1 oz King's Ginger Liqueur, 1 oz C. Drouin Pommeau de Normandie, .5 oz Fresh lemon juice, .5 oz Fresh orange juice, 1 dash Jerry Thomas Bitters",Shake and serve up.,
French 33,Champagne Flute,,"1.5 oz No.3 London Dry Gin, .75 oz Simple syrup, .75 oz Lime juice","Shake with ice, strain into flute, top with sparkling rose and a grapefruit twist.",
French 75,Champagne Flute,,".75 oz No.3 London Dry Gin or H by HINE, .75 oz Fresh Lemon Juice, 1 dash Simple Syrup, 1 float Sparkling Wine","Mix the gin or cognac, lemon juice and syrup in a cocktail shaker. Pour the contents into a Champagne flute. Top up with Champagne. Add a Luxardo Cherry or a peel of lemon.",
French Maid,N/A,,"1.5 oz H by HINE, 1 oz House Ginger Beer, .75 oz Lime juice, .75 oz Simple syrup, .25 oz John D. Taylor's Velvet Falernum, 3  Cucumber wheels, 8  Mint leaves, 1  Mint sprig","Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel.",
French Martini,Cocktail glass,,"4.5 cl Vodka,1.5 cl Raspberry Liqueur,1.5 cl pineapple juice",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,
Frisco San,Martini,,"1.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Benedictine, 1 dash Angostura Bitters",Stir all ingredients with ice. Strain into a chilled Martini glass. Garnish with a lemon peel.,
Fuji-La,Coupe,,".5 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, 1.5 oz Apple Water*, 1 ml Citric Acid Solution**","Combine Luxardo, gin, apple water and citric acid solution into a shaker tin and shake to chill. Double strain into a coupe glass and garnish with a slice of Fuji apple lightly dusted with cinnamon.

*Apple Water:
-- 1 Fuji Apple
-- 2 c Water

Slice Fuji apple and combine with water. Vacuum seal and place in a sous-vide for 3-4 hrs at 130°F. Strain apples; water is ready for use.

**Citric Acid Solution:
-- 1 ml gram Citric Acid
-- 3 ml Water

Combine citric acid and water. Stir until dissolved.",
Full of Bologna,Coupe,,"1 oz C. Drouin Calvados Selection, 1 oz Luxardo Amaro Abano, .75 oz Pear Watercress Puree, .75 oz Lemon Juice",Shaken and strained into a large coupe. Mint oil is house-made and used as a garnish.,
Gagliardo,Cocktail glass,,"5 parts Peach Vodka,3 parts Lemon juice,1 part Galliano,1 part Sirup of roses","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",
Garrison's New Fashioned,Old Fashioned Glass,,"2 oz Garrison Brothers Flagship Bourbon, .5 oz Luxardo Apricot Liqueur, 2 dash Australian Bitters Company Aromatic Bitters,   Lemon Peel","Place the lemon peel in an Old Fashioned glass and muddle with bitters. In a mixing glass filled with ice, add the bourbon and apricot liqueur, then strain into the glass. Garnish with cherry and orange slice, and serve over an ice sphere.","This sophisticated take on the classic Old Fashioned will impress cocktail purists, bourbon-lovers and experimental mixologists alike. Garrison Brothers Flagship Bourbon is as smooth a whiskey as they come, with rich flavors that unfold for a buttery, caramelized-sugar finish. When met with the sweet apricot liqueur and the bitterness from the muddled lemon peel and the aromatic bitters, you get a truly complex drink."
Geaux Geaux Cup,N/A,,"1 oz Junipero Gin, 1 oz Maurin Quina, .5 oz Fresh Lemon, .5 oz Pages Elderflower Syrup,  top Ginger Ale","Shake all ingredients in an ice-filled cocktail shaker. Strain into a chilled serving glass. Top with a splash of ginger ale. Garnish with a cucumber slice, quartered.","Cocktail adapted from the ""Pimm's Cup"" cocktail, served at the Napoleon House, New Orleans."
Georgia Old Fashioned,N/A,,"2.5 oz Nikka Coffey Grain Whisky, .25 oz Tippleman's Barrel Smoked Maple Syrup, 2 dash Regans' Orange Bitters, 5 dash Angostura Bitters, 1 disc Orange, 1 disc Lemon, 1 slice Peach","Muddle fruit, bitters and syrup. Add ice (1 large cube if available). Top with Whisky. Long stir.",
Gin Made Me Do It,Martini,,"1 oz Junipero Gin, 1 oz C. Drouin Calvados Selection, 1 oz Vermouth del Professore, 2 dash Angostura Bitters, 1 dash St. George Absinthe","Build all ingredients in a mixing glass, add ice and stir. Strain into a chilled martini glass and garnish with fresh fennel flowers.",Junipero Gin 20th Anniversary Signature Cocktail
Gin n' Celery,Double Rocks Glass,,"1.5 oz Old Tom Gin, .75 oz Lemon Juice, .5 oz Small Hand Foods Gum Syrup, 7 dash Celery Bitters, 1 oz Tonic Water, 1 pinch Salt","Shake booze, juice and gum. Add bitters and salt to a double rocks glass then add ice. Strain cocktail, top with tonic. Garnish with bitter covered lemon peel.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Gin Rickey,Highball glass,,"2 oz Gin,1 tsp Grenadine,Juice of 1/2 lemon,Top up with Soda Water,Garnish Lime",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,
Ginger Drop,Martini,,".5 oz King's Ginger Liqueur, 1.5 oz Momokawa Organic Junmai Ginjo Sake, .75 oz Lemon juice, .5 oz Simple syrup",Shake and strain up into cocktail glass.,
Ginger Pigeon,N/A,,"1 oz Pink Pigeon Rum, .5 oz Luxardo Aperitivo, .5 oz Simple syrup, .5 oz Lemon juice, 1 float Ginger beer, 4 pieces Chopped pineapple, 3 pieces Ginger root","Muddle pineapple and ginger root, lemon juice and simple syrup, then add Aperitivo and rum, shake well, over ice and top up with Ginger beer.",
Glimpse of Seduction,N/A,,".75 oz Luxardo Maraschino Liqueur, .75 oz Grapefruit flavored Vodka, .5 oz Fresh lemon juice, 1 float Pomegranate liqueur, 2 scoop Lemon sorbet",Pour the first four ingredients in a blender and blend until smooth. Serve into a champagne saucer. Top with Pomegranate Liqueur float.,
Goat Town Swizzle,Collins,,"1 oz Old Potrero Straight Rye Whiskey, .5 oz Luxardo Apricot Liqueur, .33 oz Luxardo Fernet, .75 oz Lemon juice, .5 oz Homemade orgeat, 4 dash Angostura bitters, 3 dash Fee Bros Orange bitters","In a collins glass, add ingredients beginning with orgeat and ending with rye. Fill glass half full with minted crushed ice. Begin ""swizzling"" cocktail with stick until cocktail is blended and ice forms on outside of glass. Top with more minted crushed ice and garnish with lemon and mint.",
Gold Rush,Coupe,,"3  Basil Leaves, 1.5 oz Karlsson's Gold Vodka, .75 oz Pineapple Juice, .5 oz Simple Syrup, .5 oz Sweet Vermouth, .5 oz Lime Juice , .5 oz Egg White, 1 dash Angostura Bitters","Put basil leaves in mixing glass. Gently muddle the leaves. Add all ingredients except the bitters or ice. Dry shake the cocktail vigorously. Add the ice and shake again vigorously. Double strain into a coupe. Add a few drops of angostura on top, add cracked pepper, slap one single basil leaf on top for garnish.",
Gold Spritz,N/A,,"1 oz Cocchi Americano, 1 oz Karlsson's Gold Vodka, 2 oz Club Soda",Combine all ingredients in a glass filled with ice and garnish with an orange twist.,
Golden Gun,Collins,,"1 oz Blended Lightly Aged Rum, 1 oz Blended Aged Rum, .75 oz Lime Juice, .5 oz Luxardo Apricot Liqueur, .5 oz SC Demerara Syrup*, .5 oz Grapefruit Juice, 2 dash Angostura Bitters","Fill a collins or highball glass with cracked or cubed ice. Add all the ingredients to a cocktail shaker filled with cracked or cubed ice. Shake and strain into the glass.

*SC Demerara Syrup:
-- 2 C Water
-- 1 C Demerara Sugar
-- 3 C Granulated Sugar

Bring water to boil in a saucepan over high heat. Add the demerara sugar and stir vigorously with a whisk (or use an immersion blender) until sugar is dissolved, about 1 minute (the water should become clear). Add granulated sugar and stir vigorously until dissolved, about 1 minute. Remove from heat and let cool.",
Gran Classico Negroni,N/A,,".75 oz Tempus Fugit Gran Classico Bitter, .75 oz No.3 London Dry Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Strain into an ice filled glass and garnish with an orange twist.,
