Cocktail Name,Glass,strIBA,Ingredients,Instructions
Caipirinha,N/A,,"4 pieces Lime, 1-2 Tbsp Sugar, 1 1/2 oz Ypiòca",Cut a lime in 4 pieces and put them in a glass. Add 1-2 tablespoons of sugar and crush with a pestle. Add Ypiòca. Fill with crushed ice. Stir well and enjoy!
California's Callin',Collins,,"1.5 oz Junipero Gin, .5 oz Luxardo Maraschino Liqueur, 1 oz Grapefruit Juice, .75 oz Lemon Juice, 1 dash Tempus Fugit Abbott's Bitters,  to fill Anchor California Lager","Combine Gin, Maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. Strain over fresh ice into a Collins glass, top with the California Lager, and garnish with the grapefruit peel."
Canary vs. the Coal Mine,Old Fashioned Glass,,".5 oz Old Forester Bonded Bourbon, .5 oz H by HINE, 1 oz Rock & Rye, 1 oz Cocchi Americano Rosa,   Activated Charcoal",Stir and strain into an old fashioned glass with a large ice cube.
Cap't of the Seven Seas,Lager,,"2 oz Ypioca Brasilizar Cachaca Ouro Reserva Especial, 1 oz Jalapeno-Orange Simple Syrup, 1 oz Coconut Milk, 4 dash Orange Flower Water, 9 drops Mole Bitters",Combine all ingredients in a shaker tin and shake vigorously. Double strain using a fine mesh strainer. Serve in a lager glass over ice.
Carrier Pigeon (an Airmail with Pink Pigeon),Champagne Flute,,"1 oz Pink Pigeon Rum, .5 oz Lime juice, .5 oz Honey","Short shake-strain into champagne flute- top with champagne. 
Drop a Luxardo cherry into the flute.
"
Champs Élysées,Coupe,,"2 oz H by HINE, .75 oz Lemon juice, .5 oz Green Chartreuse, .25 oz Simple syrup, 2 dash Angostura bitters",Shake with intent. Double strain in coupe. Garnish with lemon wheel.
Chapman Cobbler,Old Fashioned Glass,,"1 oz Applejack, 1 oz Amontillado Sherry, .75 oz Orgeat, .75 oz Fresh Lemon Juice, 1 bsp Tempus Fugit Creme de Noyaux",Combine all ingredients in a shaker tin filled with crushed ice. Flash-shake and dump into a double old fashioned glass. Garnish.
Charente Royale,Champagne Flute,,"1.5 oz H by HINE, .5 oz Elderflower Liqueur, 2 dash Absinthe,  top Sparkling Wine",Combine all ingredients except sparkling wine in a shaker. Add ice and shake until chilled through. Double strain into a champagne flute and garnish with an orange twist.
Château Montifaud Creation,N/A,,"1.5 oz Chateau de Montifaud Cognac VS, 1 oz Lemon Juice, .25 oz Orgeat (Almond) Syrup, .25 oz Triple Sec,  top Lemonade","Pour the Cognac and lemon juice into the glass and then add orgeat syrup; fill with ices cubes and mix with a spoon. At the end, add lemonade and lemon peel."
Château Montifaud Lady Touch Triple Sec,N/A,,"1.5 oz Chateau de Montifaud Reserve Speciale Michel Vallet, .75 oz Triple Sec, 1 oz Lemon Juice, 1 oz Sugar Syrup, 8  Fresh Mint,   Ice Cubes",Pour the ingredients in the shaker. Close and shake well until frosted. Strain into the glass. Garnish with fresh mint.
Château Montifaud on Mint,N/A,,"1 coffee spoon Sugar Syrup, 10  Fresh Mint, .25  Sliced Green Lemon, 1 oz Chateau de Montifaud Cognac VSOP, .75 oz Lemon Juice, .75 oz Sparkling Water","Pour the sugar syrup into the glass and add fresh mint and green lemon. Lightly crush and add ice cubes, Cognac, lemon juice and sparkling water. Mix with a spoon and serve with a straw."
Château Montifaud on the Rocks,N/A,,"1.5 oz Chateau de Montifaud Cognac XO, 3  Ice Cubes",Pour the Cognac into the glass and add ice cubes. Perceive the aromas that are released as a summer rain that reveals the secrets of the nature...
Château Montifaud Pink Love,N/A,,".75 oz Chateau de Montifaud XO Silver, .75 oz Sugar Syrup, .75 oz Lemon Juice, 3  Raspberries,  fill Champagne","Pour the Cognac, sugar syrup, lemon juice and 3 pressed raspberries into the shaker, then shake. Strain into the glass (using a cocktail strainer) and fill with chilled Champagne. Garnish with 3 raspberries."
Cherries St. James,Cocktail Glass,,"1.5 oz No.3 London Dry Gin, .25 oz Lemon Juice, .25 oz Pages Elderflower Syrup, .25 oz Luxardo Sangue Morlacco Cherry Liqueur, .25 oz Luxardo Maraschino Liqueur",Shake well with lots of ice. Strain into cocktail glass.
Cherry Bark Martinez,N/A,,"2 oz Old Tom Gin, .75 oz Carpano Antica, 1 spoon Luxardo Maraschino Liqueur, 1 dash Angostura bitters, 2 dash Bittercube cherry bark bitters",Stir and strain into stem. Garnish torched star anise and discarded lemon peel.
Cherry Blossom Martini,Coupe,,"2 oz Karlsson's Gold Vodka, 1 oz Dolin Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 6 dash Celery Bitters",Stir with ice and strain into a chilled coupe. Garnish with a fresh cherry tree blossom.
Cherry Champagne Cocktail,Coupe,,"4 oz Champagne or Prosecco, 1 oz Tart Cherry Juice, .5 oz Luxardo Maraschino Liqueur, 4 dash Mole Bitters, 1 bsp Luxardo Amaro Abano","Stir the cherry juice, Maraschino, bitters and Amaro in a mixing glass with ice. Strain into a cocktail coupe and top with Champagne. Garnish with a sprig of thyme."
Cherry Old Fashioned,Rocks Glass,,".5 tsp Demerara Sugar, 1  Roasted Cherry, 2 oz Cherry-Infused Vodka, .25 tsp Amaro di Angostura, .25 tsp Luxardo Maraschino Liqueur, 5 dash Miracle Mile Forbidden Barrel Aged Bitters","Muddle sugar and 1 roasted cherry in a rocks glass until the sugar has dissolved; add vodka, Amaro, Maraschino, and bitters and stir. Add 1 large ice cube and garnish with half a roasted cherry and the tarragon.

Cherry-Infused Vodka:
- 1 cup pitted cherries, quartered
- 1 cup vodka
Combine cherries and vodka in a bottle; cover, and let sit to meld the flavors for 3-5 days."
Cherry Orchard,N/A,,".5 oz Luxardo Sangue Morlacco Cherry Liqueur, .25 oz Luxardo Maraschino Liqueur, .5 oz Laird's Straight Bonded , 1.25 oz Clear Creek Kirschwasser Eau de Vie, .25 oz Lemon juice, .5 oz Grapefruit juice, .25 oz Simple syrup, 2 dash Peychaud's Bitters",Shake over ice. Strain into a 6 oz. cocktail glass
Cherry Shandy,N/A,,"1.5 oz Luxardo Sangue Morlacco Cherry Liqueur, 6 oz IPA",Stir IPA and Luxardo in a tumbler. Garnish with Luxardo Cherry.
Chilcano,Highball Glass,,"2 oz BarSol Selecto Acholado Pisco, .5 oz Fresh Lime Juice, 2-3 drops Angostura Bitters,  top Ginger Ale",Add pisco and lime juice into a highball glass filled with ice. Pour ginger ale into the glass to top. Add 2-3 drops of bitters. Garnish with lime wheel.
Chilcano (variation),Beer Glass,,"1.25 oz BarSol Primero Quebranta Pisco, .25 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, .25 oz Agave Nectar, 3-4 drops Cranberry Bitters, 4 oz Ginger Beer","Build in an ice filled 14 oz beer glass, add BarSol Pisco, Ginger Liqueur, fresh lime juice, and agave nectar. Roll into a Boston shaker and shake to mix, place cranberry bitters on top, add ginger beer and garnish with a wedge of fresh lime."
Chingerito,N/A,,"2 oz BarSol Primero Quebranta Pisco, 1.5 oz Grape juice, 1 oz BarSol Perfecto Amor (Aperitif Wine), 1 oz Fresh pomegranate juice, .75 oz Cinnamon syrup, .75 oz Fresh lime juice, 4  Grapes",Shake and strain into ice filled glass.
Chippendale Rosetone,Punch Bowl,,"1.5 part Gin, .25 part Luxardo Apricot Liqueur, .75 part Casoni 1814, .5 part Dry Vermouth, 1 part Unfiltered Apple Juice, 1 part Fresh Lemon Juice, .5 part Rich Simple Syrup (2:1), 2 part Jasmine Green Tea","Combine all ingredients in a punch bowl, add a large chunk or block of ice, garnish with lemon wheels and apple slices. Serve when punch is chilled."
Citrus Agave Caipirinha,Bucket,,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 1.5 oz Citrus Agave Blend, 1 splash Soda Water","Add soda to bucket first, then add spirits and mixers. Top with ice and garnish."
Citrus Quo (Adapted),N/A,,"1.5 oz No.3 London Dry Gin, .5 oz Luxardo Limoncello, .5 oz Luxardo Aperitivo, 3 oz Tonic water","Fill up a stem-less wine glass with ice and pour the ingredients over, stir and serve."
Classic Lolita,Crystal Rocks,,"2 oz Nikka Whisky Taketsuru, .5 oz Okinawa sugar, .5 oz Soda, 2 dash Orange Bitters, 2 dash Old Fashioned Bitters",Muddle Okinawa sugar with bitters. Add whisky and stir. Top with soda.
Clear Intentions,Collins,,"1.5 oz Luxardo Bitter Bianco, .5 oz Krogstad Aquavit, 1 bsp Luxardo Apricot Liqueur, 1 dash Orange Cream Citrate, 1.25 oz Almond Cream Soda",Stir all ingredients over cubed ice and then strain over large rock while incorporating the cream soda. Garnish with Italian baking spice infused olive and cherry.
Clearly Bitter,Coupe,,".75 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, .75 oz Dry Vermouth, .5 oz Curacao, 2 dash Rhubarb Bitters",Build all ingredients in a mixing glass. Stir with ice and strain into coupe. Garnish with grapefruit peel.
Club Med,N/A,,".75 oz Luxardo Apricot Liqueur, .75 oz BarSol Selecto Italia Pisco, .75 oz Elderflower Liqueur, 2 oz White dry white(preferably Sauvignon), 2 oz Club soda","Fill up a wine glass with ice then pour the ingredients, stir and serve."
Coco Batida,N/A,,"1 1/2 oz Coconut milk, 1 1/2 oz Condensed milk, 3 oz Ypiòca, 1 Tbsp Sugar","Put 1 1/2 ounces of coconut milk, 1 1/2 ounces of condensed milk, 3 ounces of Ypiòca and tablespoon of sugar in a blender. Mix for a few seconds. Add ice cubes and serve."
Coffee & Clove,Nick & Nora,,"1.5 oz Nikka Coffey Grain Whisky, .75 oz Manzanilla Sherry, .75 oz Orange Liqueur, 2 dash Clove Tincture",Stir. Strain into Nick & Nora glass. Mist of Pipe Tobacco Tincture.
Coffey Grain Manhattan,Coupe,,"2 oz Nikka Coffey Grain Whisky, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Tempus Fugit Abbott's Bitters",Combine ingredients in a mixing glass with ice and stir. Strain into a coupe glass and garnish with a flamed orange peel.
Conference,Double Rocks Glass,,".5 oz H by HINE, .5 oz Rye Whiskey, .5 oz Bourbon, .5 oz Calvados, 1 tsp Demerara Syrup, 2 dash Angostura Bitters, 1 dash Bittermens Xocolatl Mole Bitters","Stir all the ingredients over ice, then strain into a double rocks glass over 1 large ice cube. Garnish with a lemon twist and orange twist."
Corpse Reviver No 1,Coupe,,"50 ml H by HINE, 25 ml Calvados, 25 ml Tempus Fugit Alessio Vermouth Bianco",Shake all the ingredients over ice and strain into a chilled coupe glass. Garnish with an orange twist.
Corpse Reviver No.2,N/A,,".75 oz No.3 London Dry Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz The Genuine Curacao Liqueur Clear, .75 oz Lemon Juice,  rinse Vieux Pontarlier Absinthe Francaise Superieure",Rinse cocktail glass with Vieux Pontarlier Absinthe. Shake rest with ice and strain.
Cosmopolitan,Cocktail glass,Contemporary Classics,"Absolut Citron,Lime juice,Cointreau,Cranberry juice",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
Cosmopolitan Martini,Cocktail Glass,,"Cointreau,Vodka,Lime,Cranberry juice","Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass."
Cream Soda,Highball glass,,"Spiced rum,Ginger ale",Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.
Creek Ran Dry,Coupe,,"1 oz Pear Brandy, 1 oz Dry Vermouth, .5 oz Chateau de Montifaud Pineau des Charentes Blanc, .5 oz Dolin Genepy","Barrel aged for 5 months in a used bourbon barrel.

Stir with ice and strain into a small coupe. Garnish with an orange twist."
Creole,Martini,,"1.5 oz H by HINE, .75 oz Clement Creole Shrubb, .75 oz Fino Sherry, 2 dash Orange Bitters",Stir. Strain into martini glass. Garnish with lemon twist.
Creole Cobbler,Coupe,,"1 oz Junipero Gin, 1 1/2 oz Sathenay Crème de Peche, 1/2 oz Fresh Lemon Juice,  oz 2 Dashes Orange Bitters","Shake all ingredients in an ice-filled cocktail shaker. Strain, and Serve."
Creole Summer,N/A,,"1.5 oz Vanilla flavored Vodka, .75 oz Luxardo Limoncello, 1 oz Fresh sweet n' sour, .5 oz Passion fruit puree, .5 oz Egg white, 7 dash Green Tabasco",Shake all ingredients with ice. Strain into a chilled cocktail glass.
Croatia Firing Squad,N/A,,"1 oz Luxardo Bitter Bianco, 1 oz Lillet Blanc, 1 oz No.3 London Dry Gin, .5 oz Rose Wine","Build cocktail in glass, add ice and stir. Garnish with rose petal."
Crooked Kilt,N/A,,"1.5 oz Glenrothes Vintage Reserve, .75 oz Lime Juice , .5 oz Green Chartreuse, .5 oz Velvet Falernum, .5 oz Pineapple Juice",Pour over crushed ice with a mint garnish.
Cuba Liberation,N/A,,"2 oz Pink Pigeon Rum, 1.5 oz Fresh lime juice, .25 oz Simple syrup,  oz Mexican Coca Cola, 1 float Luxardo Fernet",Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.
Culebra,Collins,,"1.5 oz Rhum Agricole-style, .75 oz Luxardo Amaretto di Saschira, .5 oz Fresh lime juice, 4 oz Cola, 3 oz Mint sprigs, 2 dash Bitters","Place the mint in a Collins glass and muddle for a few seconds to release the oils, then add ice and ingredients, stir well and serve."
Cupid's Carrier Pigeon,Tiki glass,,"1 oz No.3 London Dry Gin, 1 oz Velvet Falernum, .75 oz Pink Pigeon Rum, 1 oz Unfiltered Apple Juice, 1 oz Lime juice, 3 dash Angostura bitters","Shake, strain into a Tiki glass over crushed ice and garnish with a large sprig of mint.

"
Cut & Rum,Smoked Glass,,".75 oz Banks 5 Rum, .75 oz Denizen Aged White Rum , .75 oz Denizen Aged White Rum , .75 oz Luxardo Amaro Abano","Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin."
Cut To The Chase,Coupe,,"2 oz J.H. Cutter Whisky, .75 oz Averna Amaro, .5 oz Alvear PX Sherry, 2 dash Angostura Bitters","Combine all ingredients in to a mixing glass and add ice.

Stir for about 10-15 seconds.

Strain in to a cocktail coupe or a glass of your choosing.

Garnish with an orange twist expressed over the top of the drink."
Daisy Mae,Rocks Glass,,"2 oz Junipero Gin, 1 oz Lime Juice, .75 oz Green Chartreuse, .75 oz Simple Syrup",Shake and strain into a rocks glass. Garnish with a mint sprig.
Dark Caipirinha,Highball glass,,"demerara Sugar,Lime,Cachaca","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well."
Day For Night,Nick & Nora,,"1.5 oz C. Drouin Calvados Selection, .5 oz La Quintinye Vermouth Rouge, .25 oz Pedro Ximenez Sherry, .25 oz Cannella Cinnamon Cordial, 1 dash Angostura bitters",Stir and strain into a chilled Nick and Nora glass. Garnish with a clove(2) studded orange coin.
Delicious in Mauritius,N/A,,"1.5 oz Pink Pigeon Rum, .5 oz White peach puree, .25 oz Hibiscus syrup, .25 oz Lemon juice, .5 oz Ginger ale","Shake all ingredients except ginger ale, then strain into chilled cocktail ""coupe"" glass. Float ginger ale and zest of fresh lemon."
Delicious Sour,Coupe,,"2 oz C. Drouin Calvados Selection, .75 oz Lemon Juice, .75 oz Giffard Abricot du Roussillon, .5 oz Egg White","Dry shake. Add ice, shake. Double strain into a frozen coupe glass. Garnish with lemon twist or dehydrated apple slice."
Dernier Mot,Cocktail Glass,,".75 oz Rhum Agricole, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.
Desmond's Choice,Old Fashioned Glass,,"2 oz Hirsch Small Batch Reserve Bourbon, .5 oz Creme de Cacao, .25 oz Pierre Ferrand Dry Orange Curacao, 3 dash The Bitter Truth Jerry Thomas Bitters","In old fashioned glass, lightly muddle orange zest with bitters and orange curacao.  Add bourbon and creme de cacao then stir with ice for proper dilution (depending on ice) and mixing of ingredients."
Deviled Negroni ,Rocks Glass,,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, 1 oz Luxardo Bitter","Stir all 3 ingredients continuously in an ice-filled glass, approximately 20 seconds. Strain into a rocks glass with one large ice cube."
Dirty Martini,Cocktail glass,New Era Drinks,"Vodka,Dry Vermouth,Olive Brine,Lemon,Olive","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
Divine Aspect,Coupe,,"1 oz No.3 London Dry Gin, 1 oz Apple-infused Wild Turkey Bourbon 101, 1 oz Luxardo Apricot Liqueur",Stir and strain up into cocktail glass.
Division Bell,Martini,,"1 oz Mezcal, .75 oz Aperol, .5 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice",Fill a cocktail shaker with ice. Add ingredients and shake well. Strain into a chilled coupe or martini glass and garnish with the grapefruit twist.
Doctor's Orders,Cocktail Glass,,"1.75 oz Junipero Gin, .75 oz Dry Vermouth, .25 oz Curacao, 1 dash Tempus Fugit Abbott's Bitters",Stir. Serve in a small cocktail glass. Lemon twist to garnish.
Don't Rock the Boat Punch,N/A,,"1 part No.3 London Dry Gin, 1 part Rooibus Tea (steeped and cooled), 1 part Mulled Cider (cooled), .5 part Clover Honey Syrup, .33 part Cava,   Angostura","Combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally."
Donaji,Rocks Glass,,"2 oz Mezcal, .5 oz Fresh Lemon Juice, .5 oz Fresh Lime Juice, .75 oz Agave Nectar","Shaken and strained over ice in a rocks glass.

*Chapuline, Salt & Chile Pepper Rim:
Grind the chapuline  (dried crickets) and dried chile pepper in a mortar and pestle, as it becomes a powder, throw in the salt and pour onto a plate. Use a fresh lime wedge to moisten the rim of the glass and dip into the powder."
Down the Rabbit Hole,Collins,," oz Junipero Gin,  oz Lemon,  oz Elder Flower Liquor,  oz Honey Syrup,  oz Carrot Juice","Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves."
Drink Lab #16,N/A,,"2 oz Brandy, .75 oz Orgeat, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice, 10 drops Bittermens Burlesque Bitters","Shake, strain, lemon twist garnish."
Drops of Jupiter,Rocks Glass,,"1.5 oz Junipero Gin, .5 oz Genevieve Gin, .25 oz Rich Wild Sage Honey Syrup, 1 dash Angostura Bitters, 1 dash Whiskey Barrel Aged Bitters, .75 oz Spring Water",Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.
Dry Mauritian Sour,N/A,,"40 ml Pink Pigeon Rum, 10 ml Campari, 10 ml Lavender syrup, 10 ml Lemon juice , 10 ml Orange juice, 25 ml Egg white","Dry shake, shake with cubed ice, double strain into chilled glass."
Duchamp's Punch,Old-fashioned glass,,"Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs"
Duke's Classic Dry Martini,Martini,,"3 oz No.3 London Dry Gin, 1 tsp Extra Dry Vermouth, 1  Amalfi Lemon","Pour the Extra Dry Vermouth into a frozen martini glass (either 7 oz. or 5.5 oz. glass) and coat in a circular motion. Top up the glass with ice cold No.3 gin. Pare the rind of an Amalfi lemon, and give it a twist to extract the oils into the glass."
Dutch Stories,N/A,,"1.5 oz Genevieve Gin, .75 oz Luxardo Apricot Liqueur, .25 oz Luxardo Maraschino Liqueur, .5 oz Fresh lemon juice, 1 Tbsp Gooseberry Jam","Shake the ingredients with ice, then strain into a chilled cocktail glass."
"Eat, Drink and Be Cherry",Bamboo Highball Glass,,".75 oz Nikka Coffey Grain Whisky, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Mendolera, .5 oz Cane Sugar, .5 oz Lemon, 3 oz Fever-Tree Soda","Shake everything except for the soda water, strain into bamboo highball, add soda, add ice, garnish with 3 picked cherries."
Eden's Apple,Coupe,,"1.5 oz Apple & Cinnamon-Infused Karlsson's Gold Vodka, .75 oz J. T. Taylor's Falernum, .5 oz Fresh lemon juice, 1 oz Fresh Cider, 1 tincture Bar Keep Baked apple bitters","In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with the apple slice. Can also be served warm."
El Cortez,N/A,,"1 oz Luxardo Apricot Liqueur, 1.5 oz Chinaco Reposado Tequila, 2 oz Dry Riesling","Stir the first two ingredients with ice, then strain into a chilled wine glass. Top with chilled wine, stir and serve."
El Mustavo,N/A,,"2 oz Mezcal, 1 oz Tempus Fugit Alessio Vermouth Chinato, 1 oz Campari, 2 dash Rhubarb Bitters, 2 dash Orange Bitters",Stir all ingredients and pour over 2-inch single ice cube. Garnish with birch smoked sea salt rim and bow tie orange peel.
Elgin Elixir,Rocks Glass,,"1 oz BenRiach Single Malt 12 YO, 1 oz C. Drouin Calvados Selection, 1 oz Luxardo Aperitivo",Combine ingredients with ice in a mixing glass and stir. Strain over a large cube in a rocks glass and garnish with an orange peel.
End of Winter,N/A,,"2 oz H by HINE (Brown Butter-Infused), 0.5 oz King's Ginger Liqueur, 3 dash Fee Brothers Black Walnut Bitters","Combine H by HINE, King's Ginger Liqueur, and bitters over ice in a mixing glass. Stir until you reach proper dilution(15-20 seconds). Strain over a large ice rock in a bucket glass and garnish with Luxardo Cherries."
Endless Summer,Coupe,,"1.5 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, .75 oz Luxardo Bitter, .25 oz Luxardo Maraschino Liqueur, .75 oz Lemon Juice, 1 dash Lemon Bitters",Served up in a coupe glass.
English Harbour Colada,Old Fashioned Glass,,"2 oz English Harbour Rum 5 YO, 2 oz Fresh Squeezed Pineapple Juice, 2 oz Fresh Coconut Water",Build in old fashioned glass over ice.
Erasmus' Revenge,N/A,,"2 oz Junipero Gin, .5 oz Carpano Antica, 1 bsp Calisaya, 3 dash The Bitter Truth Grapefruit Bitters",Combine ingredients. Pour over big cube and stir. Add the grapefruit peel.
Espèce de Sazerac,Rocks Glass,,"1 oz H by HINE, .5 oz Old Overholt Straight Rye Whiskey, .5 oz Rittenhouse Straight Rye Whisky, 1 bsp Rich Demerara Simple Syrup, 3 dash Peychaud's Bitters","Stir all ingredients together, strain into a chilled large rocks glass, no ice. Twist a zest of lemon above the drink, dip it once and then discard."
Espresso Martini,Cocktail glass,New Era Drinks,"Vodka,Kahlua,Sugar syrup","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
Essence No.5 (Adapted),N/A,,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Triplum (Triple Sec), .5 oz Lavander syrup, 1 oz Fresh lime juice, 4  Raspberries",Shake all ingredients with ice then double strain into a chilled cocktail glass. Garnish with channeled lemon and raspberry on the rim.
Far From the Tree,Fizz Glass,,"1.5 oz C. Drouin Calvados Selection, .75 oz Orgeat, .5 oz Lemon Juice, 1 oz Pear & Celery Puree, .5  Egg white","Dry Shake (no ice), Wet Shake (with ice) & Double Strain."
Farmer's Gold,Cocktail Glass,,"2 oz Karlsson's Gold Vodka, .75 oz Fresh Lemon Juice, 1 oz Simple Syrup (1:1), 3 dash Regans' Orange Bitters, 5 large Basil Leaves, 16 whole Black Peppercorns","Muddle 4 basil leaves, 16 peppercorns and simple syrup in shaker tin. Add all other ingredients except final basil leaf. Add ice. Shake vigorously. Fine strain into chilled cocktail glass. Express lemon oil from lemon swath over drink. Garnish with lemon swath and final basil leaf."
Feingold,N/A,,"2 oz Brandy, .5 oz Orange Cordial, 1 bsp Luxardo Sangue Morlacco Cherry Liqueur, 1  Luxardo Cherry (muddled), 1 dash Aromatic Bitters, 1 dash Cherry Bitters","Muddle cherry in liquid ingredients. Shake, double strain over cracked ice. Garnish with two more cherries on a pick with an orange flag."
Fernet Frappe,N/A,,"1.5 oz Luxardo Fernet, .5 oz King's Ginger Liqueur, 2 oz Cola, 1 wedge Lemon juice","Pour ingredients over crushed ice into a stemmed glass, stir well and serve."
Fiery Clydesdale,Highball Glass,,"1.5 oz Pusser's Blue Label Rum , .5 oz King's Ginger Liqueur, .5 oz Ginger Syrup, .25 oz Lime Juice,  top Homemade Pink Grapefruit Soda","Wet shake all ingredients except grapefruit soda, pour over ice and top with grapefruit soda. Rim glass with grapefruit demerara. Add dehydrated grapefruit wheel and slice of fresh root ginger for garnish."
Figge bout it,Double Rocks Glass,,"2 oz Westland American Single Malt, .25 oz Lustau Pedro Ximénez Sherry, .75 oz Lemon Juice, .5 oz Fig & Cinnamon Syrup, 1 dash Angostura Bitters",Shake and double strain into double rocks glass. Garnish with torched cinnamon stick and Luxardo Cherry.
Final Ward,Cocktail Glass,,".75 oz Rye Whiskey, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lemon Juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.
Fiona Graham,Nick & Nora,,"1.5 oz Luxardo Bitter Bianco, 1 oz Junmai Sake, .25 oz Coconut Rum, 1 dash Orange Bitters, 1 dash Coconut Vinegar",Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.
Flambeed Brandy Alexander,Mug,,"2 oz H by HINE, 1 oz Tempus Fugit Creme de Cacao, 1 oz Cream (steamed as for a cappuccino)","Warm and flame H by Hine VSOP Fine Champagne in metal mug like a Blue Blazer without the tossing back and forth.
Douse flame of heated brandy with cacao, top with foamed cream.
Garnish with freshly grated nutmeg.
"
Flamenco,Coupe,,"1.5 oz Lustau Amontillado Sherry, 1 oz Bols Genever, .5 oz Orange Juice, .5 oz Lemon Juice, .75 oz Luxardo Orgeat Syrup, 2 dash Angostura Bitters","Shake all the ingredients with ice, then strain into a coupe. No garnish."
Flaming Lamborghini,Cocktail glass,,"Kahlua,Sambuca,Blue Curacao,Bailey's irish cream","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
Flight to Peru,N/A,,"1.5 oz BarSol Selecto Italia Pisco, 1 oz Fresh Grapefruit Juice, .25 oz Simple Syrup, .25 oz Luxardo Maraschino Liqueur, 1 dash Chocolate Mole Bitters",Shake and serve up. Garnish elaborately with a Luxardo Cherry and a grapefruit peel.
Flip and Flight,N/A,,"30 ml Pink Pigeon Rum, 15 ml Dry Oloroso Sherry, 15 oz Grenadine, 1 whole Egg,   Vanilla-Salt Spray","Dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution."
Flip the Bird,Port Glass,,"1.5 oz Pink Pigeon Rum, .75 oz Simple syrup, .75 oz Cream, .5 oz Punt e Mes, 1  Egg yolk","Shake without ice, to whip and emulsify ingredients until frothy. Add ice to shaker and shake vigorously. Strain into port glass or small fluted glass. Garnish with shaved cinnamon or nutmeg.
"
Floral Summer,Martini,,"1.5 oz No.3 London Dry Gin, .5 oz Honey syrup , .75 oz Fresh lemon syrup ,   Tarragon leaves,   Lavender bitters",Shake and strain into a martini glass.
Fortune & Glory,Coupe,,"1.5 oz Chinaco Reposado Tequila, 1 oz Lime Juice, .5 oz H by HINE, .5 oz Small Hand Foods Orgeat, .5 oz Falernum, 2 dash Mole Bitters","Shake, strain into a chilled coupe. Garnish with lime wheel."
