,place,name,year,month,visitors
0,1 ,'57 Chevy,2001,total,1512
1,2 ,Caipirinha,2001,total,1301
2,3 ,Long Island Icetea,2001,total,903
3,4 ,Piña Colada,2001,total,601
4,5 ,Tall Blonde,2001,total,573
5,6 ,Wiki Waki Woo,2001,total,517
6,7 ,Ghostbuster,2001,total,444
7,8 ,Mai Tai,2001,total,414
8,9 ,77 Sunset Strip,2001,total,402
9,10 ,Zombie,2001,total,301
0,1 ,Tall Blonde,2001,Oktober,3
1,2 ,Bleeding Heart,2001,Oktober,2
2,3 ,Piña Colada,2001,Oktober,2
3,4 ,Time Bomb,2001,Oktober,2
4,5 ,Sunny,2001,Oktober,2
5,6 ,Daiquiri Slush,2001,Oktober,2
6,7 ,Ghostbuster,2001,Oktober,2
7,8 ,Cuba Libre,2001,Oktober,1
8,9 ,Union Jack,2001,Oktober,1
9,10 ,Lemon Drop,2001,Oktober,1
0,1 ,'57 Chevy,2001,November,1051
1,2 ,Caipirinha,2001,November,885
2,3 ,Tall Blonde,2001,November,570
3,4 ,Long Island Icetea,2001,November,535
4,5 ,Mai Tai,2001,November,414
5,6 ,Piña Colada,2001,November,393
6,7 ,Wiki Waki Woo,2001,November,331
7,8 ,Ghostbuster,2001,November,290
8,9 ,77 Sunset Strip,2001,November,258
9,10 ,American Beauty (Aperitif),2001,November,168
0,1 ,'57 Chevy,2001,Dezember,460
1,2 ,Caipirinha,2001,Dezember,416
2,3 ,Long Island Icetea,2001,Dezember,368
3,4 ,Piña Colada,2001,Dezember,206
4,5 ,Wiki Waki Woo,2001,Dezember,185
5,6 ,Daiquiri Slush,2001,Dezember,158
6,7 ,Zombie,2001,Dezember,152
7,8 ,Ghostbuster,2001,Dezember,152
8,9 ,77 Sunset Strip,2001,Dezember,143
9,10 ,Sex On The Beach,2001,Dezember,75
0,1 ,'57 Chevy,2002,total,4336
1,2 ,Caipirinha,2002,total,3268
2,3 ,Long Island Icetea,2002,total,2768
3,4 ,Sex On The Beach,2002,total,1835
4,5 ,Mai Tai,2002,total,1723
5,6 ,Wiki Waki Woo,2002,total,1596
6,7 ,Piña Colada,2002,total,1367
7,8 ,Baby Aspirin,2002,total,1337
8,9 ,77 Sunset Strip,2002,total,1218
9,10 ,Tall Blonde,2002,total,1107
0,1 ,'57 Chevy,2002,Januar,934
1,2 ,Caipirinha,2002,Januar,778
2,3 ,Long Island Icetea,2002,Januar,555
3,4 ,Mai Tai,2002,Januar,481
4,5 ,Piña Colada,2002,Januar,388
5,6 ,Wiki Waki Woo,2002,Januar,368
6,7 ,Tall Blonde,2002,Januar,356
7,8 ,Sex On The Beach,2002,Januar,340
8,9 ,Baby Aspirin,2002,Januar,291
9,10 ,77 Sunset Strip,2002,Januar,273
0,1 ,'57 Chevy,2002,Februar,652
1,2 ,Caipirinha,2002,Februar,495
2,3 ,Long Island Icetea,2002,Februar,455
3,4 ,Sex On The Beach,2002,Februar,339
4,5 ,Mai Tai,2002,Februar,302
5,6 ,Wiki Waki Woo,2002,Februar,265
6,7 ,Piña Colada,2002,Februar,258
7,8 ,Baby Aspirin,2002,Februar,252
8,9 ,Tall Blonde,2002,Februar,206
9,10 ,77 Sunset Strip,2002,Februar,199
0,1 ,'57 Chevy,2002,März,718
1,2 ,Caipirinha,2002,März,510
2,3 ,Sex On The Beach,2002,März,451
3,4 ,Long Island Icetea,2002,März,431
4,5 ,Baby Aspirin,2002,März,262
5,6 ,Piña Colada,2002,März,259
6,7 ,Wiki Waki Woo,2002,März,246
7,8 ,77 Sunset Strip,2002,März,200
8,9 ,Ghostbuster,2002,März,107
9,10 ,Boston Tea Party,2002,März,96
0,1 ,'57 Chevy,2002,April,872
1,2 ,Caipirinha,2002,April,593
2,3 ,Long Island Icetea,2002,April,553
3,4 ,Mai Tai,2002,April,405
4,5 ,Wiki Waki Woo,2002,April,302
5,6 ,Tall Blonde,2002,April,234
6,7 ,77 Sunset Strip,2002,April,230
7,8 ,Zombie,2002,April,106
8,9 ,American Beauty (Aperitif),2002,April,102
9,10 ,Mojito,2002,April,101
0,1 ,'57 Chevy,2002,Mai,803
1,2 ,Caipirinha,2002,Mai,621
2,3 ,Long Island Icetea,2002,Mai,526
3,4 ,Sex On The Beach,2002,Mai,494
4,5 ,Mai Tai,2002,Mai,375
5,6 ,Baby Aspirin,2002,Mai,369
6,7 ,Piña Colada,2002,Mai,336
7,8 ,Wiki Waki Woo,2002,Mai,279
8,9 ,Tall Blonde,2002,Mai,224
9,10 ,77 Sunset Strip,2002,Mai,221
0,1 ,'57 Chevy,2002,Juni,357
1,2 ,Caipirinha,2002,Juni,271
2,3 ,Long Island Icetea,2002,Juni,248
3,4 ,Sex On The Beach,2002,Juni,211
4,5 ,Baby Aspirin,2002,Juni,163
5,6 ,Mai Tai,2002,Juni,160
6,7 ,Wiki Waki Woo,2002,Juni,136
7,8 ,Piña Colada,2002,Juni,126
8,9 ,77 Sunset Strip,2002,Juni,95
9,10 ,Tall Blonde,2002,Juni,87
0,1 ,Caipirinha,2003,total,11945
1,2 ,Sex On The Beach,2003,total,11735
2,3 ,Mojito original,2003,total,8032
3,4 ,Long Island Icetea,2003,total,7836
4,5 ,Mai Tai,2003,total,6356
5,6 ,'57 Chevy,2003,total,6306
6,7 ,Highfly,2003,total,6113
7,8 ,Baby Aspirin,2003,total,5585
8,9 ,Zombie,2003,total,4640
9,10 ,Piña Colada,2003,total,4396
0,1 ,Caipirinha,2003,Januar,741
1,2 ,Sex On The Beach,2003,Januar,695
2,3 ,'57 Chevy,2003,Januar,640
3,4 ,Long Island Icetea,2003,Januar,551
4,5 ,Mai Tai,2003,Januar,521
5,6 ,Veronika's Birthday,2003,Januar,516
6,7 ,Baby Aspirin,2003,Januar,421
7,8 ,Wiki Waki Woo,2003,Januar,373
8,9 ,Piña Colada,2003,Januar,355
9,10 ,Zombie,2003,Januar,327
0,1 ,Caipirinha,2003,Februar,777
1,2 ,Sex On The Beach,2003,Februar,721
2,3 ,'57 Chevy,2003,Februar,587
3,4 ,Long Island Icetea,2003,Februar,566
4,5 ,Mai Tai,2003,Februar,492
5,6 ,Baby Aspirin,2003,Februar,457
6,7 ,Wiki Waki Woo,2003,Februar,368
7,8 ,Veronika's Birthday,2003,Februar,368
8,9 ,Piña Colada,2003,Februar,343
9,10 ,Zombie,2003,Februar,339
0,1 ,Sex On The Beach,2003,März,881
1,2 ,Caipirinha,2003,März,835
2,3 ,Long Island Icetea,2003,März,662
3,4 ,'57 Chevy,2003,März,564
4,5 ,Mai Tai,2003,März,505
5,6 ,Baby Aspirin,2003,März,498
6,7 ,Wiki Waki Woo,2003,März,416
7,8 ,Piña Colada,2003,März,385
8,9 ,Veronika's Birthday,2003,März,363
9,10 ,Zombie,2003,März,344
0,1 ,Caipirinha,2003,April,809
1,2 ,'57 Chevy,2003,April,652
2,3 ,Long Island Icetea,2003,April,619
3,4 ,Mai Tai,2003,April,550
4,5 ,Baby Aspirin,2003,April,514
5,6 ,Wiki Waki Woo,2003,April,414
6,7 ,Zombie,2003,April,352
7,8 ,Veronika's Birthday,2003,April,282
8,9 ,77 Sunset Strip,2003,April,189
9,10 ,B52,2003,April,155
0,1 ,Sex On The Beach,2003,Mai,1216
1,2 ,Caipirinha,2003,Mai,966
2,3 ,Long Island Icetea,2003,Mai,697
3,4 ,'57 Chevy,2003,Mai,677
4,5 ,Mai Tai,2003,Mai,557
5,6 ,Baby Aspirin,2003,Mai,532
6,7 ,Wiki Waki Woo,2003,Mai,440
7,8 ,Zombie,2003,Mai,437
8,9 ,Piña Colada,2003,Mai,430
9,10 ,Veronika's Birthday,2003,Mai,367
0,1 ,Mojito original,2003,Juni,2042
1,2 ,Caipirinha,2003,Juni,1905
2,3 ,Highfly,2003,Juni,1587
3,4 ,Sex On The Beach,2003,Juni,1357
4,5 ,Long Island Icetea,2003,Juni,720
5,6 ,'57 Chevy,2003,Juni,653
6,7 ,Zombie,2003,Juni,526
7,8 ,Piña Colada,2003,Juni,478
8,9 ,Veronika's Birthday,2003,Juni,323
9,10 ,Mojito,2003,Juni,196
0,1 ,Sex On The Beach,2003,Juli,1489
1,2 ,Mojito original,2003,Juli,1483
2,3 ,Caipirinha,2003,Juli,1482
3,4 ,Cuban Special,2003,Juli,1316
4,5 ,Highfly,2003,Juli,1202
5,6 ,Mai Tai,2003,Juli,959
6,7 ,Long Island Icetea,2003,Juli,915
7,8 ,Baby Aspirin,2003,Juli,735
8,9 ,'57 Chevy,2003,Juli,728
9,10 ,Piña Colada,2003,Juli,581
0,1 ,Sex On The Beach,2003,August,1299
1,2 ,Caipirinha,2003,August,1215
2,3 ,Long Island Icetea,2003,August,907
3,4 ,Mojito original,2003,August,865
4,5 ,Mai Tai,2003,August,763
5,6 ,Baby Aspirin,2003,August,692
6,7 ,'57 Chevy,2003,August,644
7,8 ,Zombie,2003,August,625
8,9 ,Sputnik,2003,August,571
9,10 ,Piña Colada,2003,August,501
0,1 ,Sex On The Beach,2003,September,963
1,2 ,Caipirinha,2003,September,887
2,3 ,Mojito original,2003,September,753
3,4 ,Sputnik,2003,September,728
4,5 ,Highfly,2003,September,696
5,6 ,Cuban Special,2003,September,633
6,7 ,Long Island Icetea,2003,September,558
7,8 ,Baby Face,2003,September,547
8,9 ,Mai Tai,2003,September,483
9,10 ,Baby Aspirin,2003,September,463
0,1 ,Sex On The Beach,2003,Oktober,883
1,2 ,Highfly,2003,Oktober,702
2,3 ,Caipirinha,2003,Oktober,676
3,4 ,Mojito original,2003,Oktober,648
4,5 ,Sputnik,2003,Oktober,647
5,6 ,Cuban Special,2003,Oktober,558
6,7 ,Baby Face,2003,Oktober,483
7,8 ,Long Island Icetea,2003,Oktober,480
8,9 ,Mai Tai,2003,Oktober,475
9,10 ,Baby Aspirin,2003,Oktober,391
0,1 ,Sex On The Beach,2003,November,933
1,2 ,Highfly,2003,November,810
2,3 ,Mojito original,2003,November,797
3,4 ,Caipirinha,2003,November,680
4,5 ,Grasshopper,2003,November,627
5,6 ,Sputnik,2003,November,609
6,7 ,Cuban Special,2003,November,589
7,8 ,Long Island Icetea,2003,November,554
8,9 ,Mai Tai,2003,November,448
9,10 ,Baby Aspirin,2003,November,411
0,1 ,Sex On The Beach,2003,Dezember,1298
1,2 ,Caipirinha,2003,Dezember,972
2,3 ,Mojito original,2003,Dezember,837
3,4 ,Highfly,2003,Dezember,802
4,5 ,Sputnik,2003,Dezember,682
5,6 ,Cuban Special,2003,Dezember,630
6,7 ,Long Island Icetea,2003,Dezember,607
7,8 ,Mai Tai,2003,Dezember,603
8,9 ,Grasshopper,2003,Dezember,574
9,10 ,Zombie,2003,Dezember,507
0,1 ,Sex On The Beach,2004,total,12382
1,2 ,Mojito original,2004,total,9582
2,3 ,Caipirinha,2004,total,9061
3,4 ,Long Island Icetea,2004,total,7796
4,5 ,Highfly,2004,total,6952
5,6 ,Mai Tai,2004,total,6835
6,7 ,Sputnik,2004,total,6216
7,8 ,Baby Aspirin,2004,total,5645
8,9 ,Cuban Special,2004,total,5151
9,10 ,Grasshopper,2004,total,5045
0,1 ,Sex On The Beach,2004,Januar,1261
1,2 ,Mojito original,2004,Januar,910
2,3 ,Caipirinha,2004,Januar,905
3,4 ,Highfly,2004,Januar,861
4,5 ,Sputnik,2004,Januar,820
5,6 ,Cuban Special,2004,Januar,797
6,7 ,Grasshopper,2004,Januar,792
7,8 ,Long Island Icetea,2004,Januar,724
8,9 ,Mai Tai,2004,Januar,717
9,10 ,Baby Aspirin,2004,Januar,553
0,1 ,Sex On The Beach,2004,Februar,1266
1,2 ,Highfly,2004,Februar,1196
2,3 ,Mojito original,2004,Februar,1185
3,4 ,Caipirinha,2004,Februar,1160
4,5 ,Sputnik,2004,Februar,1113
5,6 ,Cuban Special,2004,Februar,1004
6,7 ,Grasshopper,2004,Februar,958
7,8 ,Gimlet,2004,Februar,791
8,9 ,Long Island Icetea,2004,Februar,712
9,10 ,Mai Tai,2004,Februar,656
0,1 ,Caipirinha,2004,März,1299
1,2 ,Mojito original,2004,März,1275
2,3 ,Sex On The Beach,2004,März,1181
3,4 ,Highfly,2004,März,1059
4,5 ,Sputnik,2004,März,943
5,6 ,Cuban Special,2004,März,830
6,7 ,Planter'sPunch (1),2004,März,750
7,8 ,Grasshopper,2004,März,742
8,9 ,Long Island Icetea,2004,März,697
9,10 ,Gimlet,2004,März,615
0,1 ,Mojito original,2004,April,1047
1,2 ,Caipirinha,2004,April,1035
2,3 ,Highfly,2004,April,731
3,4 ,Sputnik,2004,April,687
4,5 ,Grasshopper,2004,April,655
5,6 ,Long Island Icetea,2004,April,651
6,7 ,Cuban Special,2004,April,621
7,8 ,Planter'sPunch (1),2004,April,596
8,9 ,Mai Tai,2004,April,524
9,10 ,Zombie,2004,April,248
0,1 ,Sex On The Beach,2004,Mai,1050
1,2 ,Mojito original,2004,Mai,974
2,3 ,Caipirinha,2004,Mai,918
3,4 ,Highfly,2004,Mai,753
4,5 ,Long Island Icetea,2004,Mai,703
5,6 ,Sputnik,2004,Mai,692
6,7 ,Grasshopper,2004,Mai,647
7,8 ,A Day At The Beach,2004,Mai,583
8,9 ,Planter'sPunch (1),2004,Mai,563
9,10 ,Cuban Special,2004,Mai,543
0,1 ,Sex On The Beach,2004,Juni,1098
1,2 ,Caipirinha,2004,Juni,842
2,3 ,Long Island Icetea,2004,Juni,623
3,4 ,Mojito original,2004,Juni,599
4,5 ,Mai Tai,2004,Juni,527
5,6 ,Baby Aspirin,2004,Juni,457
6,7 ,Lumumba,2004,Juni,391
7,8 ,Sputnik,2004,Juni,376
8,9 ,Highfly,2004,Juni,349
9,10 ,Piña Colada,2004,Juni,317
0,1 ,Sex On The Beach,2004,Juli,1141
1,2 ,Mojito original,2004,Juli,674
2,3 ,Long Island Icetea,2004,Juli,666
3,4 ,Mai Tai,2004,Juli,545
4,5 ,Baby Aspirin,2004,Juli,471
5,6 ,Piña Colada,2004,Juli,358
6,7 ,Highfly,2004,Juli,339
7,8 ,Sputnik,2004,Juli,328
8,9 ,'57 Chevy,2004,Juli,258
9,10 ,Zombie,2004,Juli,245
0,1 ,Sex On The Beach,2004,August,1244
1,2 ,Mojito original,2004,August,784
2,3 ,Long Island Icetea,2004,August,712
3,4 ,Mai Tai,2004,August,672
4,5 ,Baby Aspirin,2004,August,604
5,6 ,Piña Colada,2004,August,418
6,7 ,Highfly,2004,August,393
7,8 ,Sputnik,2004,August,367
8,9 ,'57 Chevy,2004,August,304
9,10 ,Mojito,2004,August,283
0,1 ,Sex On The Beach,2004,September,1039
1,2 ,Caipirinha,2004,September,726
2,3 ,Long Island Icetea,2004,September,610
3,4 ,Mojito original,2004,September,553
4,5 ,Mai Tai,2004,September,501
5,6 ,Baby Aspirin,2004,September,484
6,7 ,Highfly,2004,September,313
7,8 ,Sputnik,2004,September,297
8,9 ,Piña Colada,2004,September,295
9,10 ,White Russian (der Echte!),2004,September,265
0,1 ,Sex On The Beach,2004,Oktober,1148
1,2 ,Caipirinha,2004,Oktober,808
2,3 ,Long Island Icetea,2004,Oktober,633
3,4 ,Mojito original,2004,Oktober,578
4,5 ,Mai Tai,2004,Oktober,574
5,6 ,Baby Aspirin,2004,Oktober,550
6,7 ,Highfly,2004,Oktober,358
7,8 ,Piña Colada,2004,Oktober,347
8,9 ,White Russian (der Echte!),2004,Oktober,288
9,10 ,Zombie,2004,Oktober,266
0,1 ,Sex On The Beach,2004,November,1019
1,2 ,Caipirinha,2004,November,690
2,3 ,Long Island Icetea,2004,November,535
3,4 ,Mojito original,2004,November,510
4,5 ,Mai Tai,2004,November,483
5,6 ,Baby Aspirin,2004,November,449
6,7 ,Highfly,2004,November,296
7,8 ,Sputnik,2004,November,288
8,9 ,Cuban Special,2004,November,280
9,10 ,Zombie,2004,November,225
0,1 ,Sex On The Beach,2004,Dezember,935
1,2 ,Caipirinha,2004,Dezember,678
2,3 ,Mai Tai,2004,Dezember,533
3,4 ,Long Island Icetea,2004,Dezember,530
4,5 ,Mojito original,2004,Dezember,493
5,6 ,Baby Aspirin,2004,Dezember,434
6,7 ,Sputnik,2004,Dezember,305
7,8 ,Highfly,2004,Dezember,304
8,9 ,Zombie,2004,Dezember,274
9,10 ,Piña Colada,2004,Dezember,264
0,1 ,Sex On The Beach,2005,total,12065
1,2 ,Caipirinha,2005,total,7573
2,3 ,Baby Aspirin,2005,total,5662
3,4 ,Mai Tai,2005,total,5439
4,5 ,Zombie,2005,total,4573
5,6 ,White Russian (der Echte!),2005,total,4357
6,7 ,Mojito original,2005,total,4153
7,8 ,Piña Colada,2005,total,4127
8,9 ,Absinth,2005,total,4070
9,10 ,Long Island Icetea,2005,total,3907
0,1 ,Sex On The Beach,2005,Januar,1037
1,2 ,Long Island Icetea,2005,Januar,644
2,3 ,Baby Aspirin,2005,Januar,580
3,4 ,Mojito original,2005,Januar,464
4,5 ,White Russian (der Echte!),2005,Januar,461
5,6 ,Zombie,2005,Januar,435
6,7 ,Piña Colada,2005,Januar,353
7,8 ,Absinth,2005,Januar,343
8,9 ,Highfly,2005,Januar,238
9,10 ,Sputnik,2005,Januar,237
0,1 ,Sex On The Beach,2005,Februar,817
1,2 ,Caipirinha,2005,Februar,578
2,3 ,Mai Tai,2005,Februar,496
3,4 ,Long Island Icetea,2005,Februar,494
4,5 ,Baby Aspirin,2005,Februar,465
5,6 ,White Russian (der Echte!),2005,Februar,356
6,7 ,Mojito original,2005,Februar,351
7,8 ,Zombie,2005,Februar,339
8,9 ,Absinth,2005,Februar,317
9,10 ,Piña Colada,2005,Februar,315
0,1 ,Sex On The Beach,2005,März,907
1,2 ,Caipirinha,2005,März,596
2,3 ,Mai Tai,2005,März,537
3,4 ,Long Island Icetea,2005,März,482
4,5 ,Baby Aspirin,2005,März,478
5,6 ,White Russian (der Echte!),2005,März,395
6,7 ,Zombie,2005,März,365
7,8 ,Absinth,2005,März,312
8,9 ,Piña Colada,2005,März,308
9,10 ,'57 Chevy,2005,März,172
0,1 ,Sex On The Beach,2005,April,963
1,2 ,Caipirinha,2005,April,637
2,3 ,Long Island Icetea,2005,April,570
3,4 ,Mai Tai,2005,April,547
4,5 ,Baby Aspirin,2005,April,526
5,6 ,Mojito original,2005,April,401
6,7 ,Zombie,2005,April,374
7,8 ,Absinth,2005,April,368
8,9 ,White Russian (der Echte!),2005,April,366
9,10 ,Piña Colada,2005,April,337
0,1 ,Sex On The Beach,2005,Mai,1165
1,2 ,Caipirinha,2005,Mai,761
2,3 ,Mai Tai,2005,Mai,590
3,4 ,Baby Aspirin,2005,Mai,559
4,5 ,Mojito original,2005,Mai,537
5,6 ,Zombie,2005,Mai,452
6,7 ,White Russian (der Echte!),2005,Mai,442
7,8 ,Piña Colada,2005,Mai,393
8,9 ,Absinth,2005,Mai,387
9,10 ,Highfly,2005,Mai,203
0,1 ,Sex On The Beach,2005,Juni,1221
1,2 ,Caipirinha,2005,Juni,915
2,3 ,Mojito original,2005,Juni,549
3,4 ,White Russian (der Echte!),2005,Juni,459
4,5 ,Zombie,2005,Juni,439
5,6 ,Piña Colada,2005,Juni,417
6,7 ,Sputnik,2005,Juni,381
7,8 ,Absinth,2005,Juni,340
8,9 ,Mojito,2005,Juni,226
9,10 ,Sex On The Beach 3,2005,Juni,205
0,1 ,Sex On The Beach,2005,Juli,950
1,2 ,Caipirinha,2005,Juli,754
2,3 ,Mai Tai,2005,Juli,583
3,4 ,Baby Aspirin,2005,Juli,517
4,5 ,Zombie,2005,Juli,414
5,6 ,White Russian (der Echte!),2005,Juli,381
6,7 ,Piña Colada,2005,Juli,357
7,8 ,Absinth,2005,Juli,328
8,9 ,Mojito,2005,Juli,200
9,10 ,Tequila Sunrise,2005,Juli,192
0,1 ,Sex On The Beach,2005,August,998
1,2 ,Caipirinha,2005,August,658
2,3 ,Mai Tai,2005,August,527
3,4 ,Baby Aspirin,2005,August,496
4,5 ,Mojito original,2005,August,396
5,6 ,White Russian (der Echte!),2005,August,388
6,7 ,Zombie,2005,August,356
7,8 ,Piña Colada,2005,August,344
8,9 ,Absinth,2005,August,325
9,10 ,Sex On The Beach 3,2005,August,181
0,1 ,Sex On The Beach,2005,September,1081
1,2 ,Caipirinha,2005,September,717
2,3 ,Mai Tai,2005,September,560
3,4 ,Baby Aspirin,2005,September,533
4,5 ,Zombie,2005,September,484
5,6 ,White Russian (der Echte!),2005,September,393
6,7 ,Mojito original,2005,September,381
7,8 ,Piña Colada,2005,September,339
8,9 ,Absinth,2005,September,331
9,10 ,Sex On The Beach 3,2005,September,186
0,1 ,Sex On The Beach,2005,Oktober,906
1,2 ,Caipirinha,2005,Oktober,581
2,3 ,Long Island Icetea,2005,Oktober,495
3,4 ,Mai Tai,2005,Oktober,473
4,5 ,Baby Aspirin,2005,Oktober,472
5,6 ,Zombie,2005,Oktober,435
6,7 ,White Russian (der Echte!),2005,Oktober,349
7,8 ,Mojito original,2005,Oktober,330
8,9 ,Absinth,2005,Oktober,306
9,10 ,Piña Colada,2005,Oktober,261
0,1 ,Sex On The Beach,2005,November,1017
1,2 ,Caipirinha,2005,November,666
2,3 ,Long Island Icetea,2005,November,596
3,4 ,Mai Tai,2005,November,517
4,5 ,Baby Aspirin,2005,November,504
5,6 ,Zombie,2005,November,480
6,7 ,White Russian (der Echte!),2005,November,367
7,8 ,Mojito original,2005,November,357
8,9 ,Absinth,2005,November,356
9,10 ,Piña Colada,2005,November,342
0,1 ,---,2005,Dezember,1045
1,2 ,Sex On The Beach,2005,Dezember,1003
2,3 ,Caipirinha,2005,Dezember,710
3,4 ,Long Island Icetea,2005,Dezember,626
4,5 ,Mai Tai,2005,Dezember,609
5,6 ,Baby Aspirin,2005,Dezember,532
6,7 ,Mojito original,2005,Dezember,387
7,8 ,Piña Colada,2005,Dezember,361
8,9 ,Absinth,2005,Dezember,357
9,10 ,Sex On The Beach 3,2005,Dezember,168
0,1 ,Sex On The Beach,2006,total,5064
1,2 ,Caipirinha,2006,total,4669
2,3 ,Long Island Icetea,2006,total,4231
3,4 ,Baby Aspirin,2006,total,4107
4,5 ,Mai Tai,2006,total,3779
5,6 ,Zombie,2006,total,2820
6,7 ,Absinth,2006,total,2420
7,8 ,Sex On The Beach 3,2006,total,2032
8,9 ,Piña Colada,2006,total,1904
9,10 ,Mojito original,2006,total,1843
0,1 ,Sex On The Beach,2006,Januar,1046
1,2 ,Caipirinha,2006,Januar,713
2,3 ,Long Island Icetea,2006,Januar,641
3,4 ,Mai Tai,2006,Januar,546
4,5 ,Baby Aspirin,2006,Januar,541
5,6 ,Absinth,2006,Januar,404
6,7 ,Piña Colada,2006,Januar,355
7,8 ,---nazi_from_hell,2006,Januar,239
8,9 ,Sex On The Beach 3,2006,Januar,177
9,10 ,'57 Chevy,2006,Januar,158
0,1 ,Sex On The Beach,2006,Februar,922
1,2 ,Caipirinha,2006,Februar,608
2,3 ,Long Island Icetea,2006,Februar,599
3,4 ,Baby Aspirin,2006,Februar,539
4,5 ,Mai Tai,2006,Februar,520
5,6 ,Zombie,2006,Februar,455
6,7 ,White Russian (der Echte!),2006,Februar,426
7,8 ,Mojito original,2006,Februar,343
8,9 ,Piña Colada,2006,Februar,324
9,10 ,Absinth,2006,Februar,317
0,1 ,Sex On The Beach,2006,März,1047
1,2 ,Caipirinha,2006,März,681
2,3 ,Baby Aspirin,2006,März,592
3,4 ,Long Island Icetea,2006,März,567
4,5 ,Mai Tai,2006,März,566
5,6 ,Zombie,2006,März,495
6,7 ,Mojito original,2006,März,367
7,8 ,Absinth,2006,März,341
8,9 ,Piña Colada,2006,März,335
9,10 ,Sex On The Beach 3,2006,März,179
0,1 ,Sex On The Beach,2006,April,184
1,2 ,Caipirinha,2006,April,114
2,3 ,Long Island Icetea,2006,April,108
3,4 ,White Russian (der Echte!),2006,April,89
4,5 ,Zombie,2006,April,79
5,6 ,Mojito original,2006,April,77
6,7 ,Piña Colada,2006,April,68
7,8 ,Absinth,2006,April,55
8,9 ,B52,2006,April,41
9,10 ,Sex On The Beach 3,2006,April,37
0,1 ,Sex On The Beach,2006,Oktober,880
1,2 ,Baby Aspirin,2006,Oktober,531
2,3 ,Caipirinha,2006,Oktober,522
3,4 ,Long Island Icetea,2006,Oktober,480
4,5 ,Mai Tai,2006,Oktober,444
5,6 ,Zombie,2006,Oktober,414
6,7 ,Mojito original,2006,Oktober,340
7,8 ,Absinth,2006,Oktober,299
8,9 ,Sex On The Beach 3,2006,Oktober,293
9,10 ,White Russian (der Echte!),2006,Oktober,253
0,1 ,Baby Aspirin,2006,November,935
1,2 ,Caipirinha,2006,November,931
2,3 ,Sex On The Beach,2006,November,838
3,4 ,Long Island Icetea,2006,November,813
4,5 ,Mai Tai,2006,November,748
5,6 ,Zombie,2006,November,550
6,7 ,Sex On The Beach 3,2006,November,526
7,8 ,White Russian (der Echte!),2006,November,498
8,9 ,Absinth,2006,November,490
9,10 ,'57 Chevy,2006,November,454
0,1 ,Caipirinha,2006,Dezember,1100
1,2 ,Long Island Icetea,2006,Dezember,1023
2,3 ,Baby Aspirin,2006,Dezember,969
3,4 ,Mai Tai,2006,Dezember,955
4,5 ,Zombie,2006,Dezember,827
5,6 ,Sex On The Beach 3,2006,Dezember,668
6,7 ,Mojito original,2006,Dezember,625
7,8 ,Absinth,2006,Dezember,514
8,9 ,White Russian (der Echte!),2006,Dezember,483
9,10 ,'57 Chevy,2006,Dezember,463
0,1 ,Sex On The Beach,2007,total,13604
1,2 ,Caipirinha,2007,total,9462
2,3 ,Baby Aspirin,2007,total,7977
3,4 ,Long Island Icetea,2007,total,7904
4,5 ,Mai Tai,2007,total,7835
5,6 ,Zombie,2007,total,7093
6,7 ,Mojito original,2007,total,6214
7,8 ,Sex On The Beach 3,2007,total,4919
8,9 ,White Russian (der Echte!),2007,total,4624
9,10 ,'57 Chevy,2007,total,4309
0,1 ,Sex On The Beach,2007,Januar,1569
1,2 ,Caipirinha,2007,Januar,970
2,3 ,Long Island Icetea,2007,Januar,884
3,4 ,Baby Aspirin,2007,Januar,857
4,5 ,Mai Tai,2007,Januar,804
5,6 ,Zombie,2007,Januar,735
6,7 ,Sex On The Beach 3,2007,Januar,564
7,8 ,Mojito original,2007,Januar,539
8,9 ,Absinth,2007,Januar,506
9,10 ,White Russian (der Echte!),2007,Januar,494
0,1 ,Sex On The Beach,2007,Februar,1239
1,2 ,Caipirinha,2007,Februar,829
2,3 ,Long Island Icetea,2007,Februar,744
3,4 ,Baby Aspirin,2007,Februar,720
4,5 ,Mai Tai,2007,Februar,672
5,6 ,Zombie,2007,Februar,607
6,7 ,Sex On The Beach 3,2007,Februar,442
7,8 ,Mojito original,2007,Februar,441
8,9 ,'57 Chevy,2007,Februar,400
9,10 ,White Russian (der Echte!),2007,Februar,393
0,1 ,Sex On The Beach,2007,März,1352
1,2 ,Caipirinha,2007,März,812
2,3 ,Long Island Icetea,2007,März,754
3,4 ,Baby Aspirin,2007,März,727
4,5 ,Mai Tai,2007,März,689
5,6 ,Zombie,2007,März,639
6,7 ,Mojito original,2007,März,483
7,8 ,White Russian (der Echte!),2007,März,459
8,9 ,Sex On The Beach 3,2007,März,447
9,10 ,Absinth,2007,März,389
0,1 ,Sex On The Beach,2007,April,1178
1,2 ,Caipirinha,2007,April,733
2,3 ,Long Island Icetea,2007,April,728
3,4 ,Mai Tai,2007,April,671
4,5 ,Baby Aspirin,2007,April,631
5,6 ,Zombie,2007,April,552
6,7 ,Mojito original,2007,April,513
7,8 ,Sex On The Beach 3,2007,April,400
8,9 ,White Russian (der Echte!),2007,April,397
9,10 ,'57 Chevy,2007,April,344
0,1 ,Sex On The Beach,2007,Mai,1730
1,2 ,Caipirinha,2007,Mai,1092
2,3 ,Long Island Icetea,2007,Mai,961
3,4 ,Baby Aspirin,2007,Mai,925
